Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,314.267365,-31.093266,605.817871,395.070801,33.892307,467.855530,378.522614,182.177933,454.028961,511.455292,129.283234,628.647949,293.811981,254.462875,584.413574,311.985229,112.478180,671.741028,240.612457,-43.354446,419.252197,219.214920,228.890656,399.272186,112.565132,138.375381,690.452576,121.811020,178.708282,595.718994,204.185135,105.522240,698.044434,183.761368,45.296101,658.459290
2,0,314.230469,-31.043161,605.848816,395.033783,33.934361,467.870209,378.524261,182.215668,454.035400,511.435577,129.335587,628.668640,293.809052,254.510849,584.392700,311.960663,112.548378,671.746826,240.604706,-43.317440,419.275482,219.241165,228.957413,399.279694,112.530922,138.435638,690.430969,121.788513,178.751343,595.684692,204.155334,105.595924,698.042542,183.759857,45.357250,658.478394
3,0,314.208221,-30.998646,605.872681,395.031708,33.946407,467.899994,378.519440,182.220932,453.998077,511.417999,129.368851,628.679565,293.804688,254.566406,584.369873,311.938141,112.608002,671.744934,240.587418,-43.285534,419.283783,219.257843,228.998123,399.251190,112.517464,138.521652,690.430115,121.796051,178.818558,595.670776,204.119400,105.673546,698.037354,184.963440,43.899948,659.897400
4,0,314.181061,-30.949305,605.889099,395.015930,33.969017,467.915009,378.537201,182.263687,454.012115,511.404083,129.389923,628.687927,293.817017,254.617035,584.347168,311.914825,112.665718,671.738037,240.596222,-43.265591,419.308105,219.283340,229.028473,399.222748,112.444221,138.514771,690.384521,121.783913,178.842377,595.640198,204.093674,105.743004,698.029175,185.004257,43.935589,659.880737
5,0,314.170715,-30.915207,605.917175,395.015259,33.983078,467.943787,378.546967,182.282867,454.003937,511.388947,129.421555,628.708435,293.821594,254.679688,584.333130,311.893463,112.728294,671.735107,240.577835,-43.235283,419.317719,219.298019,229.052765,399.192169,112.435150,138.595856,690.383972,121.769333,178.882874,595.606262,204.064575,105.807938,698.025085,184.985519,44.010105,659.842773
6,0,314.130371,-30.865063,605.929504,395.007629,34.003731,467.965088,378.539581,182.297623,453.990997,511.364166,129.454849,628.722595,293.809875,254.720444,584.311096,311.866180,112.784462,671.734802,240.534180,-43.184185,419.305786,219.297348,229.091797,399.168030,112.372581,138.615494,690.350708,121.745857,178.916107,595.574707,204.023178,105.870010,698.019409,185.005386,44.039925,659.836731
7,0,314.097595,-30.819637,605.930725,394.989960,34.038673,467.969208,378.537903,182.331360,454.004974,511.345093,129.480698,628.732239,293.802643,254.775726,584.305176,311.839142,112.831856,671.729370,240.539505,-43.160419,419.318390,219.292236,229.112076,399.149445,112.329826,138.652771,690.338318,121.718979,178.942459,595.539124,203.989120,105.926399,698.009827,183.640213,45.703632,658.420593
8,0,314.081512,-30.784021,605.950806,394.954620,34.089752,467.962738,378.532196,182.380600,454.020020,511.322632,129.519409,628.745728,293.792847,254.819992,584.306396,311.818207,112.880302,671.735535,240.530502,-43.129299,419.336029,219.284317,229.134369,399.134369,112.318253,138.723312,690.339539,121.683914,178.964676,595.503052,203.959152,105.981728,698.012024,183.609482,45.778053,658.406067
9,0,314.063629,-30.734818,605.965271,394.940338,34.126507,467.973907,378.526703,182.414062,454.017273,511.304962,129.566833,628.757935,293.782043,254.866623,584.289734,311.792358,112.932976,671.731934,240.502258,-43.078468,419.338287,219.295074,229.193008,399.131134,112.259018,138.739761,690.316895,121.669510,179.018143,595.491028,203.925262,106.054985,698.003601,183.632523,45.823318,658.410217
