Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,315.087158,-348.265259,877.986389,441.299622,-274.545807,773.701416,426.583527,-124.502167,762.564331,490.114929,-187.175659,969.726929,303.992584,-60.459385,849.165955,312.630859,-203.159531,940.217041,252.983368,-362.618469,687.048462,241.048141,-89.586769,660.247620,114.063065,-173.419708,938.263428,131.506622,-133.008041,846.758972,198.336060,-203.989868,956.487732,183.984131,-270.596191,915.101685
2,0,315.130341,-348.242798,877.993103,441.331085,-274.489380,773.719055,426.597595,-124.419800,762.621765,490.118774,-187.123291,969.756104,303.994843,-60.397545,849.216736,312.647583,-203.146393,940.242737,253.015244,-362.576935,687.043762,241.041214,-89.572960,660.297058,114.085861,-173.423248,938.274780,131.524643,-132.998856,846.786438,198.332062,-203.998245,956.500366,184.006500,-270.606232,915.105957
3,0,315.175079,-348.217438,877.999634,441.364532,-274.422180,773.737427,426.585480,-124.396515,762.633545,490.122772,-187.069427,969.792969,303.962433,-60.380291,849.250183,312.651276,-203.125275,940.265259,253.063049,-362.549683,687.048584,241.019287,-89.555687,660.313416,114.109451,-173.404282,938.277222,131.495773,-133.066315,846.778625,198.343323,-204.011337,956.516052,184.025650,-270.613617,915.111938
4,0,315.220795,-348.202393,877.998535,441.401825,-274.363831,773.753967,426.572235,-124.334694,762.654602,490.123016,-187.008728,969.811279,303.923767,-60.345669,849.280396,312.660095,-203.119049,940.284241,253.119766,-362.530579,687.053162,240.997971,-89.502800,660.359009,114.107689,-173.419144,938.279602,131.499542,-133.026779,846.794800,198.339493,-204.023224,956.521240,184.041595,-270.625214,915.099731
5,0,315.252502,-348.178864,877.986511,441.413971,-274.292938,773.749390,426.544800,-124.279106,762.682861,490.106537,-186.935150,969.822998,303.873596,-60.356174,849.318176,312.657471,-203.106842,940.295471,253.157913,-362.515991,687.045166,240.968567,-89.452797,660.406738,114.071472,-173.489548,938.284546,131.501419,-133.019653,846.817688,198.331635,-204.042999,956.511475,184.036591,-270.629150,915.078552
6,0,315.292450,-348.158020,877.992554,441.430969,-274.227203,773.757141,426.504608,-124.199997,762.687073,490.093018,-186.869751,969.833557,303.822754,-60.341640,849.325562,312.644562,-203.090088,940.304260,253.190216,-362.499939,687.051331,240.902679,-89.456970,660.415466,114.068825,-173.466827,938.280518,131.464203,-133.034012,846.802124,198.331360,-204.064926,956.525452,184.036362,-270.635620,915.077332
7,0,315.329346,-348.149811,877.994141,441.430939,-274.168182,773.754761,426.472229,-124.113098,762.701965,490.087128,-186.819229,969.833374,303.774384,-60.312969,849.349365,312.638641,-203.081863,940.311707,253.212875,-362.485199,687.057251,240.849701,-89.421463,660.438782,114.054832,-173.485550,938.272400,131.462387,-132.981323,846.831970,198.309464,-204.078064,956.538452,184.044296,-270.660217,915.087524
8,0,315.332336,-348.124878,877.966370,441.406372,-274.100739,773.722229,426.410431,-124.083221,762.694458,490.064178,-186.752960,969.802063,303.686035,-60.379539,849.341797,312.621613,-203.075668,940.302246,253.206818,-362.467834,687.035156,240.757156,-89.471916,660.425110,114.020744,-173.512451,938.276428,131.407990,-133.022354,846.829834,198.286484,-204.093658,956.527222,184.014755,-270.670074,915.087280
9,0,315.366028,-348.123138,877.953674,441.398041,-274.052765,773.695923,426.351135,-123.962074,762.701660,490.051910,-186.701187,969.773132,303.622894,-60.346012,849.344788,312.604004,-203.069931,940.296631,253.234802,-362.477417,687.038757,240.684174,-89.433838,660.441833,114.005249,-173.489883,938.278015,131.381348,-132.998993,846.840820,198.266846,-204.107681,956.534363,184.016037,-270.696381,915.106934
