Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,290.904572,-50.173927,624.457275,415.555481,23.499138,517.995361,401.036957,172.663361,507.932770,469.426636,109.136597,713.373108,280.529205,236.423950,598.096069,291.158295,94.264992,687.916626,224.164307,-62.701450,435.082794,212.693970,209.736450,410.497833,94.203987,125.898689,690.683350,106.252510,163.668686,601.692749,178.478714,94.124252,706.889404,161.573700,26.328209,669.086853
2,0,290.920441,-50.164104,624.469849,415.573090,23.543737,518.044250,401.010590,172.710052,507.975708,469.389374,109.187843,713.415771,280.477386,236.431320,598.123413,291.129761,94.284256,687.942627,224.182617,-62.661312,435.075745,212.672775,209.765686,410.536926,94.185738,125.891624,690.694458,106.214806,163.662491,601.698792,178.462402,94.104401,706.895691,161.567841,26.281683,669.092957
3,0,290.926392,-50.151855,624.474121,415.571869,23.591156,518.065186,400.981873,172.748215,508.014435,469.358887,109.212440,713.454102,280.422485,236.432175,598.154480,291.100830,94.284256,687.964966,224.209625,-62.651112,435.079346,212.651672,209.792404,410.564362,94.160507,125.866341,690.695435,106.194603,163.663193,601.727600,178.444336,94.084534,706.903137,161.556366,26.236074,669.095215
4,0,290.920105,-50.135521,624.480774,415.574890,23.634130,518.090515,400.961884,172.810944,508.066528,469.321930,109.248581,713.493713,280.371948,236.440826,598.180298,291.068665,94.291878,687.983521,224.238220,-62.629292,435.079163,212.621368,209.802246,410.584412,94.123840,125.844734,690.693604,106.152702,163.639496,601.729065,178.426437,94.061630,706.904541,161.543091,26.201645,669.102539
5,0,290.918121,-50.122620,624.513000,415.592346,23.656055,518.160278,400.940735,172.845276,508.106232,469.282318,109.297607,713.547363,280.323761,236.435379,598.202148,291.039124,94.303001,688.018860,224.240692,-62.602402,435.085693,212.596222,209.802292,410.598053,94.073944,125.782501,690.669922,106.123795,163.628372,601.744141,178.411911,94.056381,706.922241,161.530838,26.182863,669.120544
6,0,290.924255,-50.113068,624.536987,415.575195,23.713745,518.183472,400.914948,172.876785,508.150513,469.241943,109.335419,713.606262,280.279388,236.453369,598.246033,291.005096,94.315903,688.049377,224.270218,-62.605083,435.112488,212.581848,209.831390,410.666473,94.064034,125.799713,690.704163,106.081741,163.624283,601.757202,178.392075,94.037231,706.937744,161.512726,26.159891,669.134521
7,0,290.908630,-50.087074,624.550354,415.576019,23.745878,518.217468,400.888702,172.906418,508.188019,469.203522,109.379280,713.647400,280.219788,236.450378,598.252991,290.969818,94.327637,688.066711,224.287399,-62.604301,435.116699,212.553986,209.811615,410.670135,94.017250,125.776169,690.689697,106.025810,163.600113,601.753357,178.372833,94.035156,706.938782,161.490875,26.148441,669.135010
8,0,290.898041,-50.066223,624.581177,415.576996,23.778633,518.261658,400.864899,172.948410,508.219543,469.159851,109.439400,713.686951,280.168915,236.471786,598.263123,290.930573,94.354248,688.088074,224.287750,-62.605598,435.137970,212.516434,209.807205,410.663971,93.995628,125.800224,690.691467,105.996262,163.614563,601.769714,178.343811,94.043358,706.942566,161.460953,26.159046,669.147522
9,0,290.905823,-50.051456,624.625061,415.580597,23.806698,518.305969,400.843353,172.975693,508.256622,469.128204,109.485809,713.733765,280.127930,236.502701,598.287476,290.901520,94.372787,688.114929,224.318481,-62.621140,435.186951,212.480560,209.778198,410.676575,93.959946,125.798492,690.698364,105.961647,163.631958,601.794250,178.323288,94.058548,706.961121,161.446411,26.164185,669.170898
10,0,290.898590,-50.025097,624.671021,415.563599,23.847240,518.337463,400.828217,173.007797,508.289948,469.101318,109.547165,713.773987,280.092529,236.526123,598.304016,290.878113,94.407684,688.143677,224.322327,-62.633774,435.229065,212.458084,209.763184,410.687103,93.946815,125.832169,690.720398,105.929581,163.645920,601.805664,178.311234,94.087875,706.978210,161.421036,26.189001,669.191833
