Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,272.687897,-492.850311,852.688049,352.808990,-437.320801,709.763245,356.687469,-286.611420,696.764099,487.795288,-360.471863,865.425476,288.534393,-203.639557,830.586304,289.532928,-348.822144,916.901794,189.118912,-492.634216,669.167969,203.302795,-218.673935,648.677856,93.984299,-295.943604,947.763062,105.539726,-255.127884,853.876770,182.416840,-340.179718,949.408997,156.607681,-398.602875,911.546143
2,0,272.694550,-492.884155,852.716797,352.819824,-437.354675,709.787109,356.738525,-286.645996,696.804321,487.820831,-360.551239,865.465454,288.625488,-203.572159,830.662109,289.554352,-348.858582,916.933533,189.127991,-492.636658,669.176392,203.377701,-218.680817,648.712952,94.004112,-295.941345,947.784363,105.530220,-255.236511,853.872925,182.434052,-340.191559,949.429382,156.621964,-398.610107,911.554199
3,0,272.713867,-492.900116,852.743408,352.845764,-437.378265,709.813599,356.782898,-286.673492,696.824402,487.842804,-360.580566,865.497864,288.662811,-203.583496,830.669617,289.587067,-348.876251,916.955017,189.167648,-492.648712,669.203674,203.442627,-218.694946,648.722717,94.029999,-295.946106,947.771729,105.614418,-255.127991,853.910278,182.446930,-340.201233,949.449036,156.641556,-398.610718,911.565125
4,0,272.749756,-492.905304,852.788940,352.899048,-437.399750,709.868958,356.812378,-286.681152,696.847900,487.873047,-360.564850,865.540527,288.691681,-203.581955,830.687744,289.609863,-348.867126,916.990295,189.234497,-492.678619,669.248779,203.487045,-218.727493,648.737488,94.056534,-295.940369,947.769226,105.613701,-255.174820,853.882019,182.457458,-340.198364,949.469055,156.624130,-398.586517,911.577454
5,0,272.801910,-492.889679,852.848328,352.953094,-437.404449,709.939270,356.821716,-286.677551,696.885071,487.892212,-360.504211,865.589722,288.694550,-203.536438,830.695679,289.632843,-348.842102,917.028809,189.305099,-492.717194,669.314697,203.498001,-218.755539,648.737732,94.062752,-295.923462,947.761780,105.606430,-255.197205,853.877014,182.457275,-340.180847,949.492859,156.637054,-398.577545,911.593140
6,0,272.827545,-492.849304,852.895203,353.010132,-437.401459,710.005737,356.823212,-286.667664,696.911316,487.907959,-360.421204,865.640625,288.654633,-203.590714,830.685364,289.634338,-348.798187,917.052551,189.361023,-492.748840,669.351196,203.505859,-218.796066,648.736084,94.079437,-295.912537,947.772705,105.645760,-255.119507,853.897400,182.453705,-340.164581,949.506409,156.604950,-398.546997,911.584412
7,0,272.889893,-492.816071,852.973206,353.041992,-437.357910,710.060303,356.832733,-286.644623,696.949524,487.923309,-360.314209,865.706299,288.606049,-203.622116,830.679688,289.637543,-348.743622,917.096619,189.455353,-492.786774,669.414673,203.506149,-218.835052,648.729004,94.026505,-295.899933,947.719910,105.613335,-255.140305,853.886414,182.443405,-340.139893,949.523010,156.609650,-398.520447,911.591125
8,0,272.929718,-492.763763,853.055115,353.076935,-437.305908,710.140686,356.823792,-286.597321,697.008423,487.917084,-360.180908,865.787109,288.571716,-203.534424,830.698914,289.632141,-348.676819,917.153931,189.535126,-492.802795,669.481018,203.506073,-218.853775,648.756226,94.016693,-295.875977,947.716858,105.563599,-255.188919,853.877136,182.418533,-340.092224,949.552612,156.616669,-398.486206,911.612427
9,0,272.973053,-492.710266,853.136597,353.135681,-437.257385,710.238647,356.814178,-286.547852,697.071594,487.913818,-360.043243,865.882202,288.505707,-203.527298,830.723938,289.598267,-348.591461,917.203247,189.642731,-492.821808,669.552124,203.491882,-218.863770,648.745972,93.979195,-295.862305,947.714722,105.548180,-255.106781,853.862915,182.403183,-340.061768,949.583923,156.639816,-398.463745,911.634399
