Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,332.187225,-374.501648,874.016724,456.058777,-296.112915,770.282532,437.621643,-146.143295,761.515564,503.531860,-210.491150,967.415833,313.934753,-86.406181,849.558716,326.149536,-230.241135,938.353455,269.324219,-387.300110,683.114380,250.767410,-114.284698,660.530457,126.833855,-204.122589,938.958313,140.878876,-164.410507,850.179321,213.031174,-234.316193,955.780945,197.510559,-300.875610,914.556213
2,0,332.151550,-374.509796,874.018494,456.061676,-296.128052,770.311523,437.664825,-146.109283,761.596863,503.544800,-210.571564,967.466003,313.983521,-86.383575,849.644653,326.158875,-230.270096,938.392212,269.289032,-387.244965,683.104797,250.823730,-114.202026,660.596924,126.853737,-204.140137,938.995361,140.937119,-164.293884,850.235413,213.065567,-234.296783,955.817261,197.522644,-300.822571,914.568420
3,0,332.132660,-374.523895,874.016479,456.063690,-296.144836,770.325745,437.715759,-146.133118,761.625000,503.550171,-210.633224,967.499817,314.034882,-86.379883,849.693787,326.164337,-230.292023,938.409546,269.272797,-387.216949,683.098755,250.882065,-114.131874,660.636169,126.906586,-204.031677,939.020142,140.943146,-164.253693,850.261597,213.093155,-234.265335,955.820679,197.533768,-300.790924,914.563843
4,0,332.119385,-374.536682,874.021362,456.076416,-296.162292,770.338623,437.756042,-146.139908,761.659973,503.563629,-210.686401,967.530212,314.075989,-86.410538,849.724182,326.183960,-230.312164,938.432373,269.249725,-387.195740,683.094910,250.907364,-114.134117,660.673279,126.921532,-204.036758,939.035767,140.968002,-164.177460,850.299011,213.116409,-234.239777,955.825500,197.555710,-300.767120,914.567322
5,0,332.110718,-374.544830,874.039062,456.086029,-296.169403,770.365784,437.796082,-146.152878,761.712402,503.579865,-210.735458,967.579956,314.107361,-86.405121,849.771790,326.202209,-230.332428,938.471252,269.254639,-387.187317,683.125854,250.961212,-114.074966,660.721680,126.978905,-203.955139,939.065308,141.022339,-164.072647,850.345825,213.160645,-234.239914,955.852478,197.569702,-300.747681,914.580261
6,0,332.096527,-374.552094,874.059143,456.100586,-296.183899,770.395813,437.818329,-146.196075,761.728088,503.579254,-210.764679,967.613281,314.127747,-86.421211,849.788208,326.197998,-230.337204,938.491150,269.240814,-387.177979,683.138245,250.959366,-114.132942,660.720520,127.017242,-203.913818,939.086670,141.039581,-164.029907,850.372314,213.188049,-234.234283,955.870544,197.580017,-300.736206,914.593933
7,0,332.084839,-374.560455,874.060059,456.108643,-296.197937,770.408997,437.838654,-146.226685,761.747986,503.575500,-210.792191,967.635010,314.135437,-86.435410,849.808655,326.198975,-230.348999,938.497986,269.226379,-387.174347,683.133545,250.979599,-114.099609,660.748169,127.028572,-203.882431,939.109436,141.043976,-164.005264,850.388123,213.202866,-234.229462,955.874084,197.589401,-300.735931,914.596436
8,0,332.080963,-374.574036,874.064392,456.111481,-296.205872,770.420410,437.857208,-146.211182,761.773804,503.569855,-210.814102,967.656189,314.139526,-86.436615,849.824646,326.193085,-230.360703,938.508362,269.230377,-387.176941,683.144714,251.003860,-114.055298,660.785767,127.036530,-203.875870,939.120178,141.014572,-164.029938,850.393555,213.216766,-234.230652,955.884888,197.597275,-300.741577,914.605042
9,0,332.066528,-374.586761,874.067383,456.111176,-296.219238,770.431946,437.860168,-146.227951,761.795776,503.562622,-210.847916,967.677551,314.140076,-86.459778,849.842834,326.187592,-230.378143,938.520020,269.207825,-387.166382,683.146484,250.987915,-114.096664,660.782410,127.011566,-203.966949,939.137817,141.022827,-163.970901,850.437134,213.229874,-234.230667,955.900635,197.591904,-300.737427,914.618591
10,0,332.059692,-374.613983,874.052307,456.096313,-296.237701,770.414734,437.866547,-146.223923,761.820129,503.569733,-210.903336,967.680420,314.159515,-86.465759,849.883301,326.187317,-230.404327,938.523071,269.180511,-387.152496,683.127380,250.993790,-114.069679,660.809631,127.075287,-203.814636,939.186951,141.018814,-163.910080,850.479919,213.237381,-234.239746,955.899963,197.602966,-300.745026,914.619446
11,0,332.013885,-374.633789,874.011536,456.071289,-296.267273,770.385864,437.865784,-146.256287,761.824158,503.572571,-210.974030,967.671997,314.170898,-86.509811,849.909424,326.188873,-230.447739,938.515198,269.148926,-387.137695,683.106140,250.981476,-114.066528,660.820007,127.080727,-203.830612,939.176636,141.016449,-163.900101,850.509949,213.254074,-234.259995,955.908752,197.571930,-300.740265,914.603821
12,0,331.987823,-374.675751,873.977417,456.044830,-296.310303,770.358704,437.867218,-146.278458,761.831726,503.579193,-211.073013,967.661682,314.194519,-86.518822,849.935303,326.189941,-230.499329,938.513550,269.092987,-387.107483,683.074402,250.975464,-114.018646,660.844604,127.131584,-203.745056,939.205322,141.052902,-163.783737,850.562561,213.261887,-234.273041,955.917297,197.585373,-300.755096,914.607483
13,0,331.938232,-374.725250,873.929749,456.010742,-296.368683,770.323059,437.869476,-146.319260,761.826843,503.584930,-211.199860,967.642639,314.213409,-86.554672,849.964172,326.192657,-230.571487,938.507141,269.017487,-387.086151,683.026367,250.978790,-113.974922,660.887634,127.100021,-203.823776,939.205261,141.078033,-163.693497,850.611572,213.263519,-234.309036,955.910645,197.548141,-300.756714,914.581604
14,0,331.857574,-374.776642,873.870972,455.954071,-296.432312,770.283264,437.843903,-146.422836,761.824890,503.588013,-211.345917,967.620667,314.253052,-86.573112,850.010864,326.176331,-230.643921,938.496582,268.924988,-387.061523,682.974609,250.967087,-113.981682,660.917603,127.112968,-203.793747,939.247253,141.063248,-163.678452,850.650574,213.245377,-234.328156,955.908264,197.512604,-300.761475,914.559937
15,0,331.792572,-374.841675,873.811218,455.893951,-296.518158,770.234680,437.832001,-146.510956,761.822449,503.581573,-211.503555,967.580566,314.268402,-86.644272,850.031860,326.146759,-230.719070,938.476440,268.817078,-387.035522,682.908325,250.966812,-113.923195,660.937866,127.103004,-203.739441,939.257141,141.044113,-163.646759,850.663147,213.237259,-234.370926,955.902405,197.461639,-300.772552,914.531799
16,0,331.705994,-374.909363,873.744263,455.821075,-296.611389,770.173401,437.826935,-146.558975,761.800415,503.576935,-211.677963,967.540588,314.299744,-86.703835,850.047485,326.125946,-230.800323,938.449219,268.710358,-387.012207,682.847107,250.966721,-113.868835,660.962585,127.078667,-203.813660,939.247925,141.057617,-163.579529,850.692200,213.226761,-234.406967,955.892700,197.405304,-300.785156,914.508606
17,0,331.583527,-374.969940,873.651917,455.739105,-296.704529,770.096252,437.829193,-146.585968,761.809021,503.573181,-211.865555,967.476196,314.334534,-86.757446,850.072937,326.102661,-230.885788,938.410645,268.567200,-386.981201,682.748230,250.978851,-113.787842,661.011658,127.076309,-203.791290,939.247681,141.045013,-163.564423,850.712219,213.197342,-234.435745,955.875000,197.360046,-300.808594,914.480835
18,0,331.475922,-375.037415,873.565430,455.658173,-296.810303,770.022522,437.823730,-146.709366,761.765869,503.583496,-212.067245,967.414246,314.385071,-86.804321,850.082214,326.092590,-230.985168,938.382629,268.436737,-386.955872,682.673279,250.969284,-113.802795,661.001831,127.081352,-203.763123,939.267822,141.014084,-163.595276,850.707520,213.185623,-234.472626,955.865784,197.304031,-300.830292,914.465515
19,0,331.386139,-375.118439,873.497314,455.572510,-296.908905,769.951111,437.806763,-146.817062,761.730103,503.586884,-212.259613,967.366333,314.430908,-86.870872,850.093201,326.074249,-231.076965,938.352478,268.291901,-386.935364,682.590759,250.974274,-113.775963,660.995483,127.053711,-203.798599,939.256042,141.006638,-163.584000,850.703003,213.163559,-234.517883,955.848206,197.258270,-300.874725,914.456177
20,0,331.310059,-375.205231,873.436707,455.499817,-297.019592,769.891602,437.802979,-146.888733,761.733093,503.580994,-212.439880,967.328918,314.471069,-86.926895,850.118042,326.051086,-231.169342,938.328735,268.206879,-386.942078,682.544250,250.983322,-113.755318,661.026672,127.067047,-203.752197,939.295715,141.025421,-163.549561,850.743469,213.130219,-234.566055,955.836853,197.195953,-300.918213,914.439270
21,0,331.220337,-375.281738,873.387024,455.420807,-297.117493,769.839417,437.781555,-146.997757,761.725037,503.566681,-212.607025,967.297546,314.482117,-87.010223,850.126953,326.032410,-231.272385,938.320312,268.093964,-386.954681,682.485901,250.972427,-113.778625,661.037048,127.048912,-203.772415,939.294250,141.027725,-163.496140,850.779724,213.116409,-234.641983,955.839783,197.132431,-300.973358,914.434692
22,0,331.134125,-375.357941,873.350708,455.364410,-297.213470,769.821594,437.774200,-147.065216,761.736145,503.541107,-212.758041,967.285706,314.483398,-87.083656,850.156433,325.993164,-231.360001,938.318787,268.005615,-386.972229,682.469177,250.967773,-113.738396,661.070984,126.984001,-203.848755,939.308472,141.007935,-163.522507,850.790710,213.075409,-234.696289,955.843567,197.085037,-301.055328,914.458862
23,0,331.050659,-375.433319,873.321960,455.310608,-297.306763,769.815063,437.751831,-147.176804,761.752686,503.510071,-212.908157,967.293457,314.492737,-87.115578,850.205750,325.956665,-231.449509,938.321167,267.917725,-386.981995,682.442200,250.985825,-113.665054,661.136230,126.915352,-203.979446,939.289185,141.007309,-163.497253,850.829346,213.039841,-234.749191,955.859131,197.021027,-301.118835,914.469604
24,0,330.965088,-375.507935,873.275757,455.251678,-297.394775,769.790466,437.748108,-147.221405,761.777161,503.490082,-213.067825,967.293823,314.503387,-87.175514,850.245056,325.922302,-231.530930,938.317383,267.820648,-386.978149,682.401001,250.980164,-113.672554,661.157898,126.972290,-203.819138,939.326721,141.031906,-163.388992,850.879028,213.017136,-234.810089,955.859680,196.967056,-301.173248,914.462891
25,0,330.888245,-375.573944,873.227722,455.193054,-297.484711,769.763489,437.738922,-147.340469,761.778015,503.477692,-213.240372,967.293335,314.536255,-87.235481,850.270325,325.895172,-231.607147,938.307129,267.698792,-386.947968,682.334656,250.970032,-113.663857,661.182739,126.955482,-203.857376,939.317261,141.025513,-163.367538,850.885254,212.989487,-234.844498,955.865417,196.930969,-301.208008,914.461975
26,0,330.807373,-375.630707,873.199097,455.138092,-297.571014,769.743408,437.754913,-147.384583,761.815491,503.470825,-213.406799,967.292786,314.593231,-87.223198,850.344360,325.888428,-231.684586,938.317078,267.598633,-386.912140,682.298401,250.987625,-113.624969,661.237976,126.966003,-203.834213,939.360779,141.041870,-163.347473,850.917542,212.975006,-234.865936,955.879883,196.923737,-301.233765,914.483398
27,0,330.715454,-375.680573,873.148193,455.086090,-297.658478,769.716736,437.780212,-147.449478,761.847351,503.466309,-213.574783,967.286438,314.662292,-87.241051,850.395447,325.865845,-231.747009,938.312500,267.502899,-386.877106,682.251770,251.027222,-113.575317,661.291748,126.938896,-203.851715,939.367737,141.046295,-163.364365,850.938293,212.955261,-234.887085,955.894226,196.875031,-301.245117,914.486816
28,0,330.636902,-375.726929,873.116760,455.046783,-297.750549,769.703430,437.814362,-147.496399,761.874329,503.459381,-213.719498,967.286743,314.736542,-87.232430,850.438660,325.856659,-231.804459,938.309814,267.407410,-386.845306,682.213440,251.087128,-113.509796,661.311340,126.947983,-203.772202,939.382690,141.062912,-163.332153,850.950867,212.948425,-234.906128,955.909729,196.852051,-301.260468,914.497620
29,0,330.547638,-375.754883,873.108948,455.003052,-297.832428,769.706726,437.845612,-147.570709,761.890259,503.450562,-213.845261,967.305908,314.782501,-87.284180,850.444763,325.841278,-231.844650,938.323914,267.320404,-386.822235,682.204956,251.129837,-113.479454,661.331543,126.930374,-203.732742,939.402039,141.080154,-163.316864,850.967529,212.907120,-234.893127,955.923218,196.787689,-301.242676,914.509033
30,0,330.458740,-375.780212,873.116089,454.969086,-297.917542,769.727905,437.875580,-147.657867,761.903687,503.445312,-213.960373,967.323547,314.831024,-87.301834,850.458984,325.820984,-231.868179,938.328613,267.258575,-386.824280,682.215820,251.162445,-113.498482,661.350647,126.901749,-203.744629,939.416260,141.078522,-163.306305,850.965149,212.886536,-234.884537,955.935608,196.748474,-301.224976,914.529175
31,0,330.376038,-375.797424,873.134094,454.938080,-297.997803,769.752380,437.893311,-147.735504,761.913818,503.422546,-214.042740,967.338562,314.863739,-87.317345,850.460144,325.790375,-231.884933,938.336243,267.184174,-386.832550,682.223999,251.207916,-113.484024,661.342712,126.931488,-203.616959,939.418640,141.121826,-163.223587,850.969421,212.841156,-234.858917,955.932495,196.695114,-301.195892,914.528503
32,0,330.308136,-375.812256,873.173035,454.895294,-298.063263,769.791809,437.898621,-147.795898,761.922607,503.389832,-214.095459,967.376221,314.877869,-87.325562,850.458252,325.754669,-231.889999,938.358398,267.114380,-386.848755,682.249390,251.225525,-113.525826,661.326233,126.849937,-203.669159,939.400208,141.087219,-163.241440,850.942932,212.803070,-234.830353,955.938721,196.627518,-301.154114,914.530029
33,0,330.250488,-375.821136,873.232910,454.850464,-298.113617,769.852539,437.891876,-147.845871,761.934021,503.334595,-214.109573,967.418457,314.870331,-87.342239,850.443420,325.703125,-231.871948,938.379700,267.065918,-386.876373,682.306335,251.239838,-113.548058,661.299316,126.858788,-203.522812,939.405396,141.091263,-163.188614,850.936157,212.753250,-234.789246,955.946289,196.589020,-301.125671,914.549377
34,0,330.177826,-375.818329,873.266846,454.787628,-298.146912,769.878418,437.863403,-147.921341,761.941956,503.267517,-214.109818,967.442871,314.841675,-87.343353,850.421875,325.644440,-231.857483,938.387634,267.014526,-386.905579,682.329041,251.241959,-113.575005,661.293030,126.837593,-203.457184,939.409180,141.041641,-163.211594,850.900940,212.692566,-234.747787,955.933899,196.521652,-301.085449,914.538452
35,0,330.112579,-375.810852,873.303467,454.752106,-298.181854,769.917603,437.846558,-147.882050,761.966614,503.205048,-214.102219,967.468140,314.805298,-87.364243,850.391602,325.592987,-231.840439,938.392334,266.972931,-386.930725,682.358582,251.224213,-113.613167,661.259766,126.772377,-203.462646,939.383911,141.007385,-163.164093,850.874634,212.640472,-234.707474,955.921570,196.472473,-301.050751,914.528320
36,0,330.031738,-375.792664,873.337585,454.694458,-298.194885,769.948303,437.812256,-147.906219,761.958679,503.140137,-214.082993,967.491333,314.781342,-87.333656,850.372498,325.529327,-231.813721,938.405579,266.932465,-386.947845,682.394958,251.220673,-113.603180,661.241394,126.709206,-203.440674,939.360718,140.967346,-163.110428,850.846863,212.583282,-234.668945,955.923950,196.422821,-301.014801,914.532837
