Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,338.823242,-370.108246,873.461060,460.624817,-287.612946,770.335144,438.577454,-138.096924,763.276550,506.284821,-202.976425,968.192932,313.703827,-82.298622,852.311523,329.579895,-226.776825,939.439087,275.758942,-382.304993,682.621460,250.606094,-109.617569,663.135193,128.846176,-203.987503,940.344604,142.732315,-162.496277,852.936768,215.516891,-232.613907,957.435730,202.241501,-299.078888,916.049194
2,0,338.980499,-369.986176,873.401489,460.710632,-287.431458,770.243469,438.593811,-137.864380,763.211365,506.391815,-202.767105,968.065308,313.723572,-82.192696,852.269348,329.696686,-226.658264,939.397705,275.843414,-382.191071,682.589172,250.590836,-109.459549,663.150391,128.996643,-203.841278,940.358459,142.790283,-162.461655,852.939880,215.646759,-232.536469,957.451294,202.387817,-299.020508,916.057434
3,0,339.155640,-369.881958,873.324707,460.798584,-287.259125,770.121582,438.609161,-137.714355,763.101807,506.488190,-202.575119,967.930847,313.756195,-82.092934,852.219482,329.822693,-226.558960,939.342407,275.968231,-382.110809,682.549683,250.547470,-109.417236,663.117004,129.090759,-203.860580,940.359314,142.885910,-162.399887,852.948669,215.776550,-232.474518,957.432495,202.518112,-298.966736,916.033569
4,0,339.335602,-369.794281,873.244263,460.898468,-287.107544,769.990967,438.647308,-137.532227,763.032104,506.608673,-202.453110,967.812988,313.799133,-82.013702,852.185608,329.976807,-226.491150,939.271240,276.067719,-382.037079,682.484375,250.546844,-109.298439,663.125549,129.185486,-203.909332,940.352905,142.965698,-162.410172,852.956909,215.943481,-232.444229,957.411072,202.666245,-298.920593,916.006226
5,0,339.496643,-369.715027,873.190552,460.987183,-286.971100,769.897278,438.676941,-137.476883,762.926697,506.806061,-202.357971,967.742493,313.858612,-81.951714,852.170837,330.119019,-226.424393,939.242798,276.168610,-381.964996,682.466980,250.532455,-109.257248,663.125977,129.332764,-203.858978,940.353455,143.027679,-162.410339,852.948914,216.104385,-232.389786,957.416504,202.789398,-298.859344,916.026367
6,0,339.667328,-369.663910,873.150330,461.079315,-286.854431,769.816162,438.734039,-137.305573,762.890137,507.023041,-202.305954,967.658203,313.920502,-81.873222,852.176758,330.263641,-226.391968,939.230530,276.240326,-381.888916,682.440613,250.542313,-109.173767,663.147888,129.476898,-203.768524,940.385132,143.172394,-162.301743,853.002197,216.265350,-232.333954,957.451843,202.932861,-298.803528,916.049500
7,0,339.820068,-369.630798,873.076050,461.160614,-286.768341,769.703003,438.776276,-137.263168,762.832520,507.173126,-202.292175,967.538086,313.989899,-81.885307,852.183594,330.408356,-226.379120,939.190369,276.304382,-381.826752,682.372253,250.560486,-109.104454,663.185486,129.612915,-203.750397,940.403442,143.265182,-162.266235,853.020203,216.420197,-232.291290,957.442139,203.053085,-298.745636,916.031982
8,0,339.958984,-369.618011,873.021057,461.245300,-286.705444,769.626526,438.837677,-137.199966,762.794678,507.290833,-202.277451,967.439758,314.064423,-81.917709,852.194031,330.547485,-226.377197,939.175476,276.377869,-381.766937,682.346863,250.574203,-109.074028,663.213501,129.702408,-203.784470,940.395325,143.398148,-162.177689,853.049744,216.581573,-232.262177,957.470093,203.201096,-298.702576,916.060486
9,0,340.058807,-369.606689,872.966614,461.320251,-286.665619,769.561218,438.918091,-137.133789,762.784302,507.425720,-202.279724,967.380066,314.174591,-81.885422,852.227600,330.683533,-226.395828,939.176086,276.442535,-381.710205,682.317322,250.632889,-108.972710,663.270447,129.893784,-203.609848,940.450500,143.523468,-162.080383,853.073975,216.738297,-232.225098,957.496643,203.326263,-298.644135,916.074646
