Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,307.867859,-75.123131,603.207703,390.862427,-8.468369,467.479034,373.509033,139.726395,454.411255,503.210358,86.618195,631.332886,285.629944,210.456680,583.365540,302.966949,67.927292,670.042175,238.561295,-86.507622,414.825623,215.555618,185.426819,396.373291,103.607674,91.857582,685.252441,114.049042,134.610596,591.521667,195.584930,59.607960,694.883362,176.424255,-0.644207,653.559021
2,0,307.835266,-75.201065,603.189697,390.834808,-8.539648,467.455872,373.521667,139.683136,454.427734,503.218536,86.488258,631.312317,285.669952,210.409683,583.381836,302.967224,67.854057,670.035278,238.498779,-86.522400,414.798859,215.586655,185.455505,396.428772,103.620911,91.855247,685.254089,114.086548,134.606354,591.552063,195.587967,59.570709,694.884460,176.437500,-0.686987,653.566406
3,0,307.777069,-75.250374,603.148010,390.776917,-8.580022,467.405640,373.532928,139.607483,454.393494,503.224670,86.376740,631.286255,285.709076,210.345322,583.379028,302.970612,67.800133,670.014709,238.445221,-86.537529,414.790222,215.587738,185.429337,396.394104,103.663536,91.877625,685.276855,114.076561,134.536804,591.497375,195.588181,59.544231,694.873779,176.406403,-0.703911,653.563110
4,0,307.713684,-75.290947,603.071411,390.746490,-8.657029,467.357849,373.529388,139.549866,454.368744,503.227783,86.258095,631.234497,285.732666,210.295105,583.362488,302.968872,67.727951,669.978027,238.405029,-86.575073,414.752655,215.615402,185.444946,396.410736,103.684357,91.893044,685.284241,114.071190,134.464371,591.458191,195.583557,59.507175,694.846802,176.417068,-0.755433,653.560791
5,0,307.675140,-75.349670,603.031616,390.714386,-8.726245,467.320740,373.520996,139.475510,454.329376,503.233307,86.150909,631.186523,285.756531,210.243011,583.341736,302.970642,67.660248,669.949524,238.339996,-86.591408,414.695251,215.595688,185.362885,396.349487,103.668747,91.830322,685.262268,114.102776,134.456161,591.468262,195.585587,59.464230,694.833252,176.387466,-0.789593,653.547607
6,0,307.659210,-75.412598,603.040588,390.674164,-8.791701,467.312744,373.509857,139.425873,454.323364,503.229248,86.073715,631.150574,285.779053,210.205917,583.338989,302.968597,67.610878,669.940613,238.299622,-86.636780,414.696075,215.596695,185.327408,396.347992,103.687210,91.828575,685.295715,114.104309,134.445496,591.476135,195.586807,59.429295,694.833557,176.373337,-0.833329,653.564758
7,0,307.652344,-75.477493,603.038391,390.655640,-8.878218,467.309174,373.489502,139.364349,454.305786,503.237732,85.989594,631.116455,285.790253,210.140900,583.325073,302.969757,67.549431,669.925476,238.265900,-86.693550,414.693146,215.599823,185.275101,396.346558,103.654251,91.744682,685.262451,114.088699,134.386688,591.457825,195.577194,59.381191,694.833313,176.358109,-0.895751,653.571106
8,0,307.609436,-75.518738,602.994202,390.615356,-8.933179,467.261932,373.471039,139.280014,454.279572,503.233124,85.905441,631.079773,285.796082,210.085648,583.312378,302.966797,67.478310,669.908691,238.226089,-86.740402,414.666901,215.584412,185.228958,396.346527,103.657066,91.708069,685.265137,114.070465,134.327301,591.421204,195.575974,59.330013,694.819214,176.359039,-0.976203,653.567383
9,0,307.592712,-75.571907,602.999084,390.594086,-8.993050,467.269562,373.467560,139.235336,454.278137,503.232788,85.836952,631.068726,285.806580,210.026733,583.307434,302.966034,67.439293,669.907104,238.187408,-86.766151,414.668152,215.582062,185.217331,396.358276,103.637245,91.664604,685.238708,114.097366,134.359421,591.440308,195.578537,59.298592,694.830872,176.357803,-1.042494,653.597168
10,0,307.578522,-75.631065,602.989502,390.568695,-9.049152,467.251434,373.459198,139.157928,454.266846,503.238068,85.745277,631.052246,285.830444,209.977524,583.321106,302.971527,67.382401,669.906738,238.164734,-86.789261,414.664215,215.585022,185.191208,396.364502,103.656448,91.649292,685.260376,114.138771,134.393646,591.479309,195.586899,59.260448,694.835754,176.366302,-1.087519,653.606201
11,0,307.546783,-75.665810,602.946472,390.539612,-9.088932,467.210449,373.470612,139.122925,454.256165,503.255005,85.648804,631.023743,285.863800,209.948273,583.332275,302.981689,67.332062,669.890076,238.113800,-86.781036,414.620636,215.611252,185.226013,396.388947,103.646416,91.619888,685.256348,114.157944,134.368591,591.472595,195.596268,59.230068,694.832764,176.367432,-1.101014,653.594910
12,0,307.519745,-75.699867,602.918884,390.516602,-9.124084,467.182068,373.478363,139.079422,454.230133,503.268494,85.562706,630.996033,285.920898,209.940598,583.343445,302.997864,67.299988,669.880371,238.055786,-86.764854,414.597321,215.637558,185.265640,396.404175,103.669685,91.620995,685.271484,114.170013,134.307251,591.456909,195.605377,59.219265,694.835693,176.369156,-1.112268,653.602234
13,0,307.489532,-75.720192,602.897095,390.488525,-9.162686,467.158173,373.483429,139.034225,454.201508,503.282074,85.490509,630.964172,285.948151,209.898682,583.334473,303.015045,67.270218,669.873352,238.021805,-86.762405,414.596863,215.669739,185.317215,396.436890,103.686104,91.628105,685.294617,114.202164,134.306274,591.478577,195.616150,59.213898,694.842529,176.396408,-1.147030,653.633179
14,0,307.463287,-75.747009,602.869019,390.462555,-9.193804,467.127655,373.492554,138.992325,454.188324,503.301086,85.420273,630.927551,285.995331,209.891449,583.335571,303.037109,67.236397,669.861023,237.976898,-86.771812,414.576202,215.672516,185.283478,396.419800,103.719910,91.621979,685.308533,114.220894,134.259430,591.474487,195.633301,59.191299,694.853577,176.369522,-1.143995,653.632629
15,0,307.450989,-75.767342,602.866699,390.437653,-9.228767,467.107422,373.498840,138.974396,454.183014,503.316406,85.368484,630.898010,286.021790,209.860336,583.335022,303.050964,67.217735,669.854675,237.942902,-86.774185,414.582611,215.663132,185.249939,396.402069,103.721733,91.609482,685.333984,114.246040,134.273178,591.504639,195.644760,59.176476,694.861694,176.381226,-1.159752,653.665405
