Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,259.366699,-477.920746,869.350708,345.785431,-429.734833,728.090515,346.919617,-280.002899,705.215698,470.392761,-338.861328,884.884277,270.253448,-188.424866,829.394226,269.311310,-329.383789,924.838379,187.059311,-492.848480,682.351440,195.607758,-220.405746,643.810486,73.851959,-277.160217,939.257568,89.793999,-243.925125,842.183228,160.972290,-321.101318,950.216614,137.329514,-383.788849,914.323547
2,0,259.377045,-477.911469,869.364258,345.805145,-429.723999,728.112671,346.922882,-279.992615,705.236206,470.392151,-338.839142,884.904480,270.238068,-188.416718,829.413635,269.304443,-329.365295,924.851929,187.078674,-492.843414,682.369263,195.608932,-220.394073,643.817932,73.804153,-277.151215,939.264038,89.816826,-243.878479,842.213318,160.969040,-321.094269,950.224792,137.338867,-383.783875,914.329956
3,0,259.393433,-477.905243,869.374329,345.810669,-429.709045,728.120178,346.924713,-279.973846,705.235413,470.391754,-338.827789,884.921082,270.261139,-188.419617,829.421509,269.310944,-329.366699,924.857239,187.104324,-492.832672,682.374390,195.618622,-220.379959,643.815857,73.845779,-277.148132,939.263550,89.817619,-243.869720,842.184448,160.960297,-321.087189,950.223999,137.326096,-383.767059,914.322632
4,0,259.389404,-477.899597,869.372314,345.817688,-429.697083,728.123291,346.947571,-279.963409,705.255920,470.394684,-338.830688,884.943665,270.263824,-188.430450,829.412781,269.309357,-329.360229,924.864258,187.103928,-492.813446,682.364319,195.643433,-220.366806,643.830627,73.820221,-277.136261,939.252563,89.851761,-243.813339,842.193054,160.975266,-321.089355,950.228882,137.310852,-383.750061,914.314575
5,0,259.387512,-477.892517,869.370789,345.825958,-429.681946,728.131897,346.966675,-279.955292,705.278198,470.397034,-338.836212,884.964294,270.288971,-188.398529,829.442261,269.307220,-329.359802,924.878845,187.099152,-492.786011,682.355103,195.664307,-220.335938,643.855042,73.854027,-277.127838,939.262268,89.830185,-243.881027,842.194275,160.970230,-321.083679,950.227539,137.311432,-383.738007,914.310791
6,0,259.375427,-477.890076,869.357971,345.833527,-429.674133,728.128296,346.979370,-279.940094,705.287720,470.398285,-338.850006,884.970154,270.286407,-188.416031,829.461487,269.308899,-329.363892,924.877502,187.095261,-492.762177,682.340637,195.687302,-220.303070,643.859192,73.834091,-277.109436,939.244385,89.839676,-243.892349,842.152954,160.973969,-321.080505,950.219482,137.294571,-383.721680,914.292664
7,0,259.368774,-477.887360,869.335205,345.842438,-429.673737,728.118347,346.984894,-279.937012,705.289917,470.408142,-338.873901,884.976685,269.819031,-190.582596,828.902466,269.309692,-329.362854,924.868958,187.098938,-492.745392,682.330750,195.686646,-220.278275,643.864868,73.856010,-277.091217,939.231995,89.880859,-243.801712,842.181641,160.990265,-321.081940,950.208069,137.286987,-383.701813,914.271545
8,0,259.345032,-477.882965,869.308472,345.840271,-429.676575,728.095032,346.998322,-279.942596,705.284363,470.410614,-338.894684,884.958679,270.325500,-188.410126,829.462708,269.328552,-329.370819,924.865234,187.066818,-492.726349,682.304260,195.704132,-220.265808,643.855896,73.846573,-277.066772,939.224976,89.887543,-243.811874,842.158386,160.980377,-321.068237,950.190247,137.263412,-383.678131,914.259583
9,0,259.342010,-477.881927,869.284485,345.833160,-429.684875,728.068604,347.010681,-279.951630,705.258057,470.417938,-338.916534,884.928894,270.341248,-188.449554,829.441223,269.331451,-329.367065,924.835510,187.060608,-492.715607,682.287537,195.718277,-220.250122,643.838745,73.861183,-277.042236,939.193298,89.873703,-243.841049,842.130005,161.007019,-321.065918,950.177673,137.249573,-383.658325,914.245239
