Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,285.871033,-502.450714,864.000305,372.880981,-453.329651,723.121704,382.397125,-303.240417,706.383057,503.967773,-376.981140,882.223511,312.096375,-213.223450,835.515381,304.199158,-357.114929,925.088806,209.124573,-503.898254,677.275940,233.463028,-231.074402,650.563965,112.928886,-292.606781,943.111084,128.287247,-257.468231,849.625488,197.821198,-342.590179,952.117615,169.561783,-401.744110,916.020630
2,0,285.845978,-502.533844,863.949707,372.847565,-453.364868,723.079651,382.390656,-303.280090,706.406433,503.948456,-377.091095,882.223267,312.083862,-213.299744,835.575623,304.172760,-357.214203,925.081787,209.095551,-503.899445,677.222473,233.450867,-231.057007,650.607117,112.924850,-292.697693,943.114502,128.298767,-257.485596,849.671326,197.809692,-342.694733,952.127258,169.565536,-401.854523,916.025146
3,0,285.816956,-502.619385,863.886658,372.816803,-453.401550,723.037476,382.378571,-303.318268,706.437683,503.936829,-377.236633,882.217041,312.114349,-213.383987,835.653076,304.168488,-357.333984,925.085571,209.051331,-503.869904,677.161438,233.457718,-231.026947,650.679504,112.919807,-292.784882,943.175171,128.329376,-257.520599,849.745544,197.811218,-342.798706,952.144470,169.563232,-401.947357,916.031128
4,0,285.783875,-502.714447,863.809082,372.782257,-453.449860,722.970032,382.393311,-303.357452,706.444519,503.929260,-377.409882,882.188782,312.136169,-213.467346,835.704224,304.157562,-357.456543,925.070740,208.979950,-503.836975,677.070007,233.481125,-230.995483,650.740417,112.951111,-292.888184,943.204346,128.379517,-257.508362,849.807190,197.813721,-342.906158,952.149292,169.554306,-402.044312,916.030945
5,0,285.738831,-502.817322,863.709839,372.742218,-453.517822,722.876343,382.397430,-303.416748,706.426086,503.915619,-377.594116,882.126221,312.190582,-213.578812,835.729492,304.165436,-357.599701,925.036255,208.894577,-503.814087,676.956543,233.515961,-230.983780,650.759766,112.980515,-292.979218,943.222046,128.332214,-257.756348,849.776611,197.840286,-343.023102,952.132202,169.520615,-402.132965,916.002625
6,0,285.700989,-502.926575,863.637085,372.709625,-453.601929,722.814758,382.416229,-303.493500,706.409668,503.929260,-377.805481,882.081970,312.242371,-213.698914,835.763306,304.187653,-357.743469,925.019409,208.830002,-503.808807,676.892151,233.550400,-230.972305,650.803894,113.028412,-293.037964,943.249878,128.365295,-257.867920,849.794067,197.877243,-343.139069,952.140015,169.476837,-402.209686,915.991089
7,0,285.672943,-503.036316,863.602112,372.660400,-453.696198,722.778320,382.424103,-303.586060,706.416809,503.926697,-378.004913,882.045776,312.287567,-213.803787,835.807129,304.198029,-357.869904,925.014648,208.746460,-503.799683,676.846497,233.595047,-230.972992,650.842407,113.050301,-293.100983,943.276611,128.420883,-257.931213,849.811707,197.919846,-343.248444,952.159241,169.494537,-402.295654,916.013489
8,0,285.616669,-503.143921,863.541748,372.615356,-453.811859,722.728394,382.444244,-303.707214,706.400208,503.919769,-378.225769,881.999939,312.125427,-214.893158,835.655579,304.205444,-357.999054,924.982483,208.648346,-503.813080,676.779968,233.640991,-231.002609,650.841675,113.095360,-293.158478,943.256104,128.524719,-257.840332,849.883057,197.938492,-343.338562,952.146301,169.463058,-402.360352,915.990784
9,0,285.553955,-503.241943,863.498169,372.549011,-453.928772,722.676514,382.469269,-303.832336,706.388916,503.922058,-378.450317,881.963745,312.411102,-214.056641,835.829163,304.220337,-358.124512,924.959473,208.569717,-503.838959,676.741882,233.687408,-231.047699,650.863342,113.107277,-293.233276,943.309204,128.603729,-257.824615,849.889771,197.959976,-343.417206,952.137817,169.458969,-402.423248,915.981323
10,0,285.458984,-503.331970,863.454407,372.475281,-454.037445,722.634827,382.487061,-303.957489,706.386597,503.916199,-378.665649,881.925415,312.490967,-214.179565,835.836182,304.229828,-358.246124,924.948181,208.475204,-503.855408,676.714050,233.731613,-231.079346,650.876892,113.170891,-293.282318,943.333069,128.645325,-257.915894,849.887329,197.985992,-343.486084,952.146423,169.465118,-402.484192,915.992310
11,0,285.403290,-503.433167,863.411133,372.437317,-454.169434,722.598572,382.499298,-304.087219,706.358398,503.915070,-378.889282,881.870850,312.587311,-214.307693,835.824280,304.247986,-358.368164,924.920288,208.390015,-503.877625,676.672424,233.783554,-231.114502,650.882324,113.212822,-293.324158,943.317322,128.695770,-258.014343,849.881836,198.014938,-343.565613,952.144470,169.482025,-402.550507,915.980042
