Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,270.873688,-499.890564,863.883301,350.416595,-435.725342,724.654236,340.007019,-284.711578,711.635681,470.208527,-345.830658,885.685486,258.294342,-209.851974,841.903992,269.604126,-354.420349,928.376038,196.516327,-507.623718,677.091919,183.432419,-232.879669,656.313049,71.374962,-320.961700,947.912842,82.715187,-280.487885,854.241577,163.357986,-356.635834,955.865967,143.799271,-420.747742,918.117310
2,0,270.836853,-499.907562,863.906555,350.380280,-435.732391,724.683350,339.965057,-284.715607,711.652466,470.154602,-345.842285,885.718689,258.236237,-209.901901,841.896545,269.557831,-354.434998,928.407043,196.474396,-507.623962,677.104492,183.400711,-232.879181,656.321533,71.335236,-320.975769,947.922241,82.686867,-280.459839,854.234558,163.301575,-356.645203,955.880127,143.758057,-420.759705,918.140930
3,0,270.793152,-499.922302,863.911072,350.333466,-435.737701,724.687073,339.944977,-284.720032,711.655334,470.098724,-345.855042,885.734375,258.189636,-209.910782,841.904236,269.500916,-354.445862,928.408386,196.430725,-507.627197,677.093567,183.367905,-232.873688,656.325073,71.282867,-320.974152,947.903931,82.645447,-280.494324,854.203552,163.235107,-356.648346,955.872986,143.694824,-420.766907,918.135376
4,0,270.751404,-499.940125,863.915100,350.294708,-435.746094,724.690491,339.913513,-284.731171,711.665649,470.050262,-345.874939,885.751831,258.136627,-209.958389,841.903137,269.452209,-354.460449,928.404846,196.399643,-507.641663,677.098572,183.343704,-232.882172,656.324097,71.226753,-320.986176,947.876709,82.600380,-280.494812,854.215210,163.192154,-356.662323,955.866943,143.655579,-420.777740,918.136536
5,0,270.681854,-499.947693,863.914307,350.244171,-435.759125,724.696777,339.868439,-284.746552,711.683533,470.007965,-345.900482,885.775452,258.097015,-209.916168,841.923340,269.397736,-354.472229,928.413452,196.351639,-507.659851,677.103149,183.302338,-232.893463,656.322144,71.183205,-320.968445,947.871643,82.509567,-280.599915,854.173767,163.135544,-356.671204,955.866089,143.573059,-420.771606,918.123962
6,0,270.620422,-499.963409,863.917542,350.193665,-435.779419,724.702759,339.815979,-284.769287,711.687134,469.945557,-345.913879,885.780640,258.037628,-209.947784,841.912170,269.335602,-354.486053,928.413330,196.276932,-507.677368,677.100525,183.258957,-232.915207,656.320984,71.133904,-320.964203,947.848877,82.447098,-280.617676,854.160828,163.071487,-356.681580,955.862183,143.519882,-420.777740,918.116760
7,0,270.553986,-499.976562,863.913574,350.144562,-435.807617,724.704895,339.756744,-284.797363,711.681519,469.887268,-345.941559,885.775085,257.981506,-209.971497,841.888611,269.286469,-354.506500,928.408752,196.224243,-507.709320,677.105652,183.195847,-232.942337,656.304443,71.081299,-320.960358,947.811584,82.375969,-280.663452,854.133057,163.012115,-356.692780,955.855469,143.443130,-420.774963,918.103088
8,0,270.485291,-499.993896,863.901855,350.071594,-435.827332,724.688354,339.700317,-284.828613,711.674255,469.834290,-345.968353,885.764038,257.899811,-210.026840,841.878723,269.215149,-354.513916,928.389404,196.161697,-507.733826,677.102234,183.139297,-232.980896,656.271545,70.984215,-320.959198,947.795044,82.346687,-280.623413,854.125793,162.944962,-356.696381,955.837219,143.367950,-420.777649,918.091675
9,0,270.431213,-500.012054,863.910645,350.008911,-435.850433,724.682800,339.640839,-284.857483,711.656128,469.785706,-345.991394,885.754333,257.868103,-210.016953,841.859924,269.181183,-354.534973,928.390991,196.119263,-507.764923,677.116760,183.092087,-233.008453,656.266418,70.931938,-320.956573,947.782349,82.323723,-280.571350,854.108582,162.901352,-356.701263,955.832214,143.310928,-420.779755,918.085938
10,0,270.391113,-500.036957,863.920471,349.951202,-435.882843,724.678040,339.572418,-284.874603,711.646667,469.727661,-346.004059,885.730530,257.822479,-210.008331,841.829834,269.116028,-354.540985,928.378784,196.071304,-507.805573,677.121948,183.026001,-233.032059,656.223877,70.870903,-320.939606,947.746033,82.226822,-280.658417,854.040649,162.831177,-356.695984,955.822510,143.253601,-420.794128,918.080139
11,0,270.327881,-500.052460,863.932251,349.901917,-435.924072,724.692444,339.500305,-284.912567,711.623718,469.680786,-346.017548,885.718018,257.770813,-210.066010,841.797546,269.041046,-354.541107,928.365662,196.003830,-507.849396,677.125366,182.977707,-233.094711,656.195068,70.787880,-320.927338,947.710938,82.203377,-280.615082,854.041382,162.766113,-356.697357,955.813965,143.208710,-420.816437,918.092041
12,0,270.297363,-500.079468,863.976685,349.827026,-435.960938,724.711914,339.431854,-284.961823,711.638733,469.629669,-346.032043,885.726746,257.700775,-210.098312,841.780090,268.990570,-354.556763,928.381897,195.990356,-507.922241,677.179626,182.931427,-233.173065,656.190674,70.742188,-320.921082,947.716553,82.181183,-280.490143,854.065002,162.706177,-356.700775,955.819946,143.156158,-420.826324,918.099854
13,0,270.264801,-500.120270,864.026672,349.774292,-436.015106,724.748108,339.365906,-285.024384,711.650696,469.578094,-346.047913,885.745972,257.660187,-210.086533,841.770508,268.927429,-354.572906,928.392090,195.933655,-507.996216,677.206543,182.870865,-233.252090,656.165894,70.650894,-320.907684,947.703613,82.096695,-280.569763,854.052612,162.629059,-356.710449,955.826843,143.113129,-420.869751,918.114624
14,0,270.219025,-500.153076,864.083130,349.725006,-436.072449,724.793030,339.295807,-285.092041,711.672058,469.499084,-346.049530,885.774170,257.582367,-210.135513,841.750977,268.853943,-354.589508,928.415527,195.921448,-508.081421,677.265320,182.817749,-233.337936,656.162903,70.584732,-320.909485,947.691711,82.037788,-280.564148,854.036926,162.576111,-356.738678,955.836060,143.055603,-420.913422,918.135010
15,0,270.177856,-500.202301,864.129639,349.692566,-436.139709,724.844604,339.106171,-285.462128,711.780762,469.441742,-346.085175,885.821594,257.508698,-210.222321,841.758911,268.790100,-354.623871,928.439453,195.866760,-508.147125,677.289185,182.783844,-233.421539,656.173157,70.557533,-320.913666,947.672058,81.981705,-280.587921,854.030273,162.504654,-356.758606,955.841614,142.970413,-420.955078,918.149841
16,0,270.108582,-500.244202,864.159851,349.663788,-436.198456,724.893372,339.103455,-285.401031,711.844604,469.392883,-346.138367,885.879089,257.472778,-210.256882,841.777832,268.735657,-354.666351,928.468506,195.812210,-508.198853,677.306213,182.756363,-233.475876,656.191956,70.495300,-320.916107,947.665588,81.986794,-280.515045,854.062073,162.464264,-356.794220,955.864075,142.933212,-421.009094,918.182068
17,0,270.068024,-500.294861,864.191833,349.632355,-436.245270,724.924011,339.038879,-285.606903,711.788757,469.331757,-346.192169,885.906067,257.401611,-210.396698,841.762512,268.686127,-354.712341,928.487915,195.754379,-508.225677,677.320190,182.726242,-233.497421,656.200378,70.456993,-320.936005,947.646057,81.920052,-280.624725,853.999939,162.402176,-356.815857,955.866455,142.932602,-421.063721,918.214600
18,0,269.982147,-500.339691,864.161804,349.568298,-436.282776,724.900696,339.046631,-285.609467,711.849426,469.311035,-346.295685,885.929260,257.436005,-210.349655,841.822937,268.638977,-354.768707,928.490784,195.691681,-508.237366,677.288086,182.726822,-233.521942,656.216064,70.445778,-320.943115,947.669189,81.886856,-280.685272,854.013489,162.372559,-356.860168,955.867126,142.867462,-421.096161,918.207703
19,0,269.944153,-500.385101,864.161499,349.540070,-436.317657,724.908813,339.047577,-285.634796,711.892029,469.300537,-346.399506,885.968140,257.450775,-210.356827,841.893311,268.640106,-354.838074,928.520752,195.669586,-508.240112,677.302490,182.732986,-233.535858,656.249390,70.382957,-320.984497,947.682495,81.944954,-280.553711,854.082397,162.361572,-356.901031,955.892456,142.883377,-421.150238,918.244873
20,0,269.898865,-500.435242,864.144104,349.510834,-436.359222,724.903076,339.152832,-285.387543,711.826477,469.266937,-346.484802,885.967651,257.452057,-210.406815,841.894714,268.612122,-354.897217,928.520081,195.600998,-508.232300,677.266846,182.735199,-233.518677,656.264343,70.359543,-321.011230,947.668701,81.882706,-280.708679,854.036377,162.309250,-356.940552,955.890808,142.868652,-421.205780,918.268799
21,0,269.844910,-500.482208,864.099121,349.483704,-436.404694,724.869629,339.038910,-285.676300,711.889954,469.242310,-346.571442,885.950500,257.444397,-210.498993,841.907959,268.604248,-354.964172,928.501099,195.568237,-508.250824,677.231079,182.732193,-233.513199,656.284973,70.336845,-321.045685,947.674805,81.843529,-280.793121,854.026672,162.284256,-356.996521,955.880188,142.841400,-421.248871,918.257385
22,0,269.852600,-500.539368,864.103210,349.465149,-436.444183,724.871033,339.152588,-285.462708,711.862183,469.241913,-346.654236,885.962402,257.475372,-210.459381,841.980347,268.604492,-355.020935,928.515747,195.534256,-508.254883,677.231506,182.731674,-233.532303,656.326660,70.353584,-321.082886,947.689270,81.844994,-280.796478,854.088867,162.281754,-357.041077,955.896118,142.801041,-421.279755,918.267944
23,0,269.799469,-500.570953,864.079224,349.423309,-436.467377,724.858887,339.131653,-285.476776,711.845215,469.202759,-346.696655,885.943115,257.461060,-210.482849,841.962585,268.579498,-355.072418,928.521362,195.480347,-508.262512,677.212280,182.700211,-233.523346,656.328125,70.335503,-321.106262,947.683777,81.840446,-280.821136,854.080505,162.237305,-357.084778,955.905396,142.741699,-421.307251,918.270264
