Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,264.155060,-465.530548,862.180481,349.677582,-418.965607,719.495056,357.385406,-269.225403,699.488281,482.630768,-337.514435,874.767944,287.665405,-178.742477,827.271973,283.490540,-319.338165,920.450928,185.317215,-472.838074,677.061218,206.722656,-200.783798,644.124634,90.133934,-256.729767,941.891418,104.357544,-223.619644,845.752136,177.653305,-304.829834,949.975342,145.936081,-362.575958,914.254333
2,0,264.154053,-465.511688,862.185669,349.689789,-418.951752,719.495239,357.437439,-269.227631,699.513855,482.662628,-337.534454,874.790161,287.720367,-178.754898,827.295776,283.530548,-319.334412,920.472900,185.324234,-472.799225,677.064148,206.772797,-200.758011,644.145386,90.174812,-256.684357,941.877197,104.389877,-223.576324,845.788513,177.702271,-304.800110,949.994812,145.965530,-362.519135,914.265747
3,0,264.203033,-465.482635,862.216736,349.732849,-418.932190,719.518433,357.498657,-269.211273,699.526917,482.713837,-337.514740,874.799805,287.780975,-178.755127,827.300415,283.591949,-319.309570,920.497925,185.353256,-472.771912,677.094360,206.829926,-200.739426,644.165405,90.259682,-256.649384,941.892212,104.474098,-223.489670,845.820496,177.759842,-304.765350,950.026794,146.031708,-362.469971,914.307678
4,0,264.256195,-465.443298,862.222107,349.785217,-418.911774,719.518433,357.539825,-269.182770,699.507324,482.767334,-337.462402,874.776917,287.844299,-178.679718,827.287170,283.647400,-319.265381,920.486450,185.390945,-472.756531,677.096985,206.853180,-200.725311,644.151367,90.330025,-256.619690,941.903931,104.533424,-223.412186,845.839905,177.803955,-304.721252,950.030273,146.074158,-362.423920,914.311707
5,0,264.341156,-465.404907,862.235474,349.858215,-418.882935,719.525330,357.578827,-269.143188,699.485901,482.833923,-337.382660,874.754456,287.894196,-178.605713,827.259827,283.717804,-319.215057,920.478333,185.470627,-472.753540,677.123047,206.880249,-200.718765,644.123718,90.379044,-256.605560,941.889709,104.557693,-223.433075,845.828613,177.869919,-304.687439,950.024170,146.173798,-362.408386,914.322388
6,0,264.406647,-465.336975,862.247131,349.925385,-418.821350,719.536743,357.614014,-269.082153,699.479675,482.884796,-337.266937,874.743713,287.899292,-178.580292,827.236267,283.759521,-319.137695,920.482788,185.517914,-472.734955,677.138184,206.869217,-200.703262,644.119446,90.425766,-256.582214,941.890747,104.553024,-223.471008,845.829773,177.930481,-304.649933,950.037170,146.254929,-362.377594,914.342590
7,0,264.533234,-465.280518,862.274902,350.014801,-418.750214,719.553162,357.629364,-269.001678,699.477234,482.943024,-337.125214,874.733643,288.341034,-176.730560,827.561340,283.828430,-319.065826,920.490356,185.646362,-472.722687,677.186340,206.886032,-200.688263,644.123657,90.492500,-256.580170,941.928528,104.594749,-223.415939,845.872253,177.991745,-304.611389,950.066162,146.374908,-362.357880,914.360291
8,0,264.626465,-465.213074,862.264771,350.086945,-418.652313,719.531189,357.649567,-268.908020,699.472717,483.009399,-336.972626,874.713989,287.890472,-178.416000,827.233887,283.875061,-318.987885,920.474182,185.713196,-472.699738,677.171387,206.862503,-200.660370,644.120239,90.548172,-256.562256,941.926147,104.608009,-223.389313,845.884521,178.075073,-304.587250,950.075195,146.431686,-362.318237,914.341980
9,0,264.777924,-465.147980,862.288574,350.169861,-418.541656,719.527161,357.662292,-268.797760,699.456360,483.076263,-336.794891,874.693542,287.882080,-178.340698,827.232056,283.956177,-318.910431,920.484314,185.839691,-472.672119,677.198914,206.841095,-200.632233,644.119080,90.559525,-256.547394,941.934204,104.590805,-223.475296,845.874023,178.154205,-304.540741,950.100098,146.555771,-362.286407,914.357849
10,0,264.904205,-465.068115,862.306396,350.274323,-418.426147,719.541199,357.683777,-268.682770,699.461365,483.152649,-336.595642,874.673584,287.861115,-178.196426,827.243652,284.027557,-318.814789,920.495850,185.961121,-472.646362,677.227661,206.826935,-200.594635,644.119934,90.617424,-256.527802,941.952881,104.633522,-223.358643,845.912231,178.225006,-304.484650,950.134216,146.636978,-362.230957,914.367310
11,0,265.066711,-464.981201,862.318176,350.357910,-418.299591,719.520325,357.693420,-268.549377,699.445618,483.241791,-336.388824,874.649475,287.848511,-178.120163,827.220825,284.092194,-318.704956,920.480103,186.098541,-472.626038,677.255615,206.799789,-200.564133,644.126709,90.676346,-256.504211,941.941956,104.661308,-223.312744,845.932129,178.289001,-304.427155,950.154114,146.761536,-362.188782,914.360474
12,0,265.196899,-464.883240,862.314026,350.459564,-418.179016,719.511963,357.698700,-268.429871,699.410278,483.320618,-336.174774,874.616150,287.799286,-178.088745,827.161865,284.171631,-318.604736,920.467407,186.206802,-472.602264,677.257385,206.757156,-200.538940,644.097778,90.735947,-256.482361,941.945801,104.689964,-223.232819,845.948303,178.374496,-304.378296,950.155396,146.835449,-362.135071,914.333740
13,0,265.331573,-464.789673,862.352417,350.558899,-418.065247,719.529785,357.707520,-268.314056,699.409241,483.394073,-335.949890,874.602539,288.214752,-176.185806,827.488220,284.235870,-318.488281,920.475952,186.340729,-472.596161,677.310486,206.726715,-200.528595,644.100647,90.771118,-256.451294,941.959900,104.710281,-223.197052,845.993530,178.450623,-304.317627,950.183838,146.912094,-362.085388,914.351074
14,0,265.450745,-464.697174,862.387573,350.669708,-417.967163,719.556396,357.722961,-268.199127,699.392273,483.460693,-335.734406,874.585449,287.751495,-177.882370,827.105408,284.293427,-318.373932,920.477295,186.464142,-472.592834,677.361450,206.689453,-200.515976,644.078613,90.819832,-256.410522,941.965088,104.744339,-223.088013,846.020752,178.501297,-304.248322,950.202209,146.993210,-362.035919,914.354797
15,0,265.582214,-464.614380,862.424011,350.762909,-417.866699,719.567688,357.736298,-268.106812,699.358154,483.528381,-335.531921,874.567017,287.728363,-177.808792,827.083679,284.363068,-318.262787,920.474121,186.586472,-472.598785,677.405212,206.652161,-200.518127,644.060486,90.863853,-256.367981,941.951965,104.695168,-223.185593,845.982117,178.576035,-304.190582,950.215576,147.115753,-362.004761,914.362122
16,0,265.704468,-464.516449,862.470581,350.851776,-417.762329,719.598450,357.762207,-268.015106,699.356995,483.589325,-335.328094,874.564148,287.721100,-177.727005,827.039368,284.420654,-318.141541,920.499329,186.681198,-472.582062,677.468750,206.633224,-200.512161,644.070618,90.899330,-256.318787,941.974365,104.690498,-223.164856,845.995605,178.652328,-304.115051,950.242371,147.209244,-361.937744,914.395874
17,0,265.810547,-464.416016,862.512573,350.944366,-417.660675,719.629211,357.791809,-267.912262,699.362061,483.664124,-335.145020,874.569214,288.174103,-175.796051,827.386414,284.502319,-318.040649,920.516602,186.794006,-472.562500,677.538147,206.627670,-200.490005,644.070435,90.966431,-256.279236,941.965942,104.752586,-223.082413,846.021912,178.737015,-304.030853,950.280151,147.331619,-361.883026,914.426147
18,0,265.912231,-464.328125,862.528992,351.035309,-417.575562,719.635193,357.832581,-267.818451,699.341492,483.727112,-334.971222,874.540955,288.193054,-175.704605,827.368713,284.580933,-317.943085,920.507263,186.875336,-472.539490,677.557739,206.632797,-200.461853,644.051453,91.055679,-256.220276,941.984009,104.825981,-222.972855,846.041565,178.819794,-303.949738,950.284973,147.450714,-361.827240,914.422119
19,0,266.033844,-464.239929,862.554443,351.128967,-417.488251,719.642090,357.885468,-267.731934,699.319397,483.809998,-334.814453,874.529114,287.778809,-177.391861,827.006470,284.666931,-317.841888,920.511780,186.976639,-472.515411,677.584656,206.639801,-200.441559,644.040833,91.089729,-256.158112,941.967163,104.874832,-222.893845,846.065857,178.920685,-303.876556,950.303894,147.537079,-361.752197,914.409302
