Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,331.450958,-17.487436,618.967163,419.144684,31.437014,478.637085,418.217987,179.755051,456.814178,544.028137,122.806763,635.421448,340.592499,267.062714,581.942078,343.586487,128.999527,677.036743,257.928009,-32.198109,432.466522,265.012512,239.244629,397.598419,146.928467,177.878708,693.773010,161.211731,211.974258,597.054199,234.946487,134.678482,703.431152,207.903809,75.745544,665.804016
2,0,331.471405,-17.499977,618.992920,419.167664,31.420834,478.676758,418.192810,179.740219,456.805115,544.012573,122.838898,635.441589,340.559113,267.057251,581.942688,343.571625,128.999588,677.044189,257.952576,-32.224731,432.488892,264.997620,239.234833,397.617981,146.902481,177.863617,693.764099,161.177902,211.955093,597.057922,234.931641,134.680618,703.430969,207.920776,75.729263,665.811523
3,0,331.460693,-17.492386,618.986572,419.156921,31.439730,478.668030,418.176270,179.734055,456.802643,543.992004,122.860817,635.453247,340.528839,267.062988,581.949524,343.551880,129.000229,677.048340,257.960114,-32.235405,432.481445,264.971924,239.207291,397.595886,146.877258,177.843460,693.756409,161.167267,211.962555,597.071350,234.912292,134.666534,703.429199,207.901993,75.724594,665.796753
4,0,331.470367,-17.503328,618.990967,419.163483,31.438843,478.677734,418.156799,179.722122,456.779480,543.971436,122.886421,635.459167,340.481049,267.050690,581.935913,343.527130,128.999084,677.044922,257.964386,-32.247200,432.470520,264.939911,239.197723,397.589081,146.865372,177.842300,693.758606,161.136597,211.953629,597.071045,234.890381,134.651062,703.424927,207.906174,75.692581,665.798218
5,0,331.470551,-17.509985,618.987793,419.172913,31.433712,478.686523,418.133423,179.740204,456.789581,543.951782,122.907036,635.462952,340.443512,267.048859,581.936462,343.502563,128.994781,677.043091,257.966156,-32.254242,432.460083,264.918427,239.193253,397.605865,146.816513,177.795364,693.729553,161.105682,211.928879,597.071960,234.870895,134.635925,703.423767,207.888962,75.686630,665.790833
6,0,331.461975,-17.519941,618.974304,419.161377,31.437346,478.677612,418.115356,179.734940,456.799896,543.933167,122.905571,635.468445,340.423309,267.056854,581.959473,343.489471,128.976440,677.048279,257.963654,-32.266178,432.454285,264.884308,239.155624,397.589264,146.823151,177.805283,693.759827,161.088287,211.912384,597.092896,234.855591,134.604858,703.428589,207.867813,75.671677,665.775208
7,0,331.462708,-17.530840,618.970886,419.162201,31.432051,478.680847,418.100983,179.746674,456.803436,543.924805,122.904686,635.459839,340.396393,267.036987,581.953491,343.476013,128.965195,677.042053,257.968994,-32.285900,432.457642,264.870239,239.187119,397.634644,146.809647,177.786758,693.765442,161.058502,211.883026,597.092590,234.844772,134.590591,703.427612,207.875336,75.646530,665.781494
8,0,331.450409,-17.538994,618.956543,419.137573,31.439426,478.649689,418.090515,179.727173,456.785919,543.916565,122.898132,635.452209,340.388489,267.024323,581.954590,343.474457,128.942932,677.038452,257.954926,-32.290169,432.443298,264.859924,239.151413,397.610718,146.816620,177.789505,693.766113,161.059402,211.878387,597.107117,234.844650,134.565933,703.422791,207.855392,75.646393,665.765137
9,0,331.445282,-17.548477,618.955566,419.126678,31.432352,478.653503,418.081512,179.700562,456.790131,543.914001,122.875206,635.455261,340.380493,266.996948,581.958008,343.470612,128.925797,677.043884,257.966064,-32.313026,432.454956,264.855225,239.134293,397.615509,146.797745,177.744141,693.776917,161.064514,211.877289,597.122192,234.839478,134.540375,703.430847,207.841537,75.645798,665.759705
10,0,331.434296,-17.559513,618.972168,419.126434,31.407394,478.672272,418.078217,179.681610,456.795319,543.909851,122.863770,635.466797,340.385010,266.992340,581.967957,343.464752,128.917709,677.054260,257.962006,-32.322365,432.459381,264.869019,239.115997,397.627777,146.799393,177.773468,693.782654,161.077942,211.883942,597.120056,234.825516,134.534500,703.432678,207.833923,75.635757,665.766602
11,0,331.426147,-17.581564,618.988586,419.128326,31.378195,478.708771,418.082031,179.664749,456.806335,543.900085,122.843407,635.487793,340.392426,266.984283,581.968079,343.449280,128.911728,677.055359,257.960571,-32.332150,432.464874,264.892792,239.093063,397.608551,146.773972,177.774216,693.754028,161.075974,211.889832,597.101013,234.805313,134.539673,703.424500,207.802979,75.650101,665.747009
12,0,331.413879,-17.599651,619.027588,419.115570,31.361763,478.735229,418.096344,179.634918,456.842529,543.885742,122.808128,635.539246,340.401276,266.967224,581.974060,343.430023,128.899185,677.079285,257.978668,-32.360008,432.479858,264.928101,239.060547,397.586548,146.757843,177.782318,693.728210,161.075897,211.881088,597.060242,234.784317,134.539490,703.425842,207.799347,75.636101,665.747498
