Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,296.259003,-70.919258,616.552246,419.297058,7.338281,511.361908,404.261292,156.691177,507.278198,475.471039,85.465263,709.204346,284.701202,216.450409,601.356628,296.943787,70.971306,685.541870,226.908737,-76.420464,427.807678,214.394608,196.791656,413.844543,99.197960,102.753151,691.340271,111.040092,143.926422,604.155640,183.924011,70.564911,705.880798,167.092163,3.973897,666.550293
2,0,296.329376,-70.864220,616.530212,419.328064,7.419259,511.325134,404.244202,156.767960,507.249359,475.501282,85.560684,709.166199,284.683197,216.509033,601.336609,296.972412,71.021935,685.516541,226.967224,-76.394623,427.793457,214.348495,196.794556,413.813141,99.207352,102.768951,691.335022,111.051064,143.982727,604.164856,183.948700,70.598183,705.868958,167.168945,3.952132,666.558105
3,0,296.389557,-70.803467,616.494202,419.368286,7.496163,511.291809,404.231934,156.862701,507.194885,475.532684,85.672195,709.114746,284.661469,216.555771,601.288574,297.001221,71.093941,685.481750,227.041306,-76.374825,427.799896,214.324127,196.860855,413.802216,99.226822,102.803192,691.302979,111.048981,144.017319,604.130310,183.980423,70.640152,705.842468,167.192108,3.993145,666.547852
4,0,296.435303,-70.720253,616.466431,419.381012,7.607867,511.239655,404.229065,156.957336,507.165253,475.575317,85.778084,709.076782,284.658966,216.619919,601.271301,297.042603,71.164871,685.460083,227.055542,-76.299377,427.762512,214.324997,196.947342,413.811432,99.270081,102.853889,691.312500,111.086151,144.101196,604.151794,184.018112,70.693665,705.836060,167.239380,4.034372,666.546265
5,0,296.494720,-70.646866,616.446716,419.407684,7.704663,511.204651,404.237183,157.061844,507.134308,475.622711,85.883369,709.032471,284.661316,216.681961,601.238403,297.082153,71.237747,685.437805,227.120941,-76.255325,427.772430,214.310013,196.987625,413.786499,99.303886,102.886848,691.290466,111.113960,144.140564,604.137146,184.067215,70.757332,705.825562,167.364670,4.036083,666.578064
6,0,296.533569,-70.560738,616.394836,419.441620,7.806303,511.146667,404.249115,157.154099,507.072510,475.664001,85.999481,708.963379,284.677460,216.772293,601.199219,297.129486,71.314072,685.395386,227.140244,-76.182739,427.724243,214.298553,197.058472,413.753021,99.357880,102.944946,691.274231,111.138824,144.184738,604.105347,184.112564,70.821358,705.799866,167.368988,4.124374,666.556030
7,0,296.607422,-70.505791,616.363892,419.494720,7.877110,511.113831,404.255310,157.246460,507.022430,475.712311,86.101059,708.895142,284.681458,216.825333,601.159973,297.175598,71.380310,685.358398,227.177277,-76.142220,427.704865,214.289581,197.107849,413.737000,99.401619,102.963425,691.277222,111.138588,144.168839,604.071594,184.159866,70.860619,705.789795,167.412277,4.165476,666.561157
8,0,296.679596,-70.447716,616.344849,419.533600,7.957665,511.070251,404.254852,157.313690,506.971893,475.759949,86.201248,708.828918,284.682983,216.880081,601.132507,297.228912,71.447327,685.334534,227.214767,-76.094025,427.695709,214.249542,197.117264,413.704224,99.423355,102.967796,691.278442,111.146263,144.174240,604.077637,184.212524,70.904671,705.794250,167.471634,4.183005,666.601013
9,0,296.760223,-70.386261,616.330994,419.558258,8.050631,511.018463,404.250275,157.404205,506.923615,475.819855,86.307549,708.767212,284.692169,216.957306,601.114197,297.278259,71.517174,685.309021,227.225632,-76.038979,427.670380,214.217056,197.155212,413.684784,99.470436,103.015778,691.296387,111.174957,144.216751,604.101990,184.255783,70.951569,705.794556,167.525925,4.206616,666.619507
10,0,296.821442,-70.323448,616.301392,419.581635,8.133120,510.962128,404.240509,157.464417,506.845428,475.869598,86.407158,708.699951,284.691864,216.992249,601.060425,297.321045,71.579437,685.273132,227.263336,-76.002579,427.659729,214.192215,197.193466,413.661835,99.482925,103.015274,691.280090,111.186340,144.225281,604.075134,184.292618,70.992386,705.783752,167.547729,4.254930,666.622681
11,0,296.866608,-70.252312,616.256042,419.600922,8.239522,510.900787,404.239594,157.559570,506.805725,475.912994,86.501503,708.642822,284.692017,217.063507,601.036621,297.363403,71.635353,685.241333,227.286301,-75.954712,427.628998,214.172058,197.229370,413.646454,99.522675,103.054413,691.269287,111.213554,144.273804,604.065674,184.326096,71.033279,705.762451,167.567795,4.294127,666.630493
12,0,296.943207,-70.201447,616.267639,419.628906,8.323841,510.884583,404.236450,157.641449,506.773010,475.935760,86.603874,708.615356,284.682587,217.123627,601.013306,297.392212,71.707558,685.224548,227.340683,-75.932892,427.661285,214.152084,197.253632,413.621613,99.563110,103.106628,691.281860,111.237999,144.323349,604.069397,184.358841,71.084854,705.761169,167.618774,4.325531,666.643677
13,0,296.970673,-70.131157,616.249756,419.658478,8.400378,510.858307,404.237915,157.717758,506.747192,475.953979,86.702179,708.588684,284.677063,217.187317,600.991577,297.410828,71.770241,685.206726,227.351151,-75.881699,427.629395,214.131409,197.277786,413.600006,99.576286,103.128105,691.255737,111.247971,144.357422,604.056030,184.379898,71.128540,705.747253,166.297028,5.873442,665.231689
14,0,297.017609,-70.078064,616.236633,419.694489,8.467067,510.842621,404.236084,157.782700,506.717499,475.963470,86.788277,708.564880,284.655426,217.237320,600.961792,297.421600,71.824448,685.183655,227.390045,-75.856514,427.609131,214.130325,197.320007,413.590393,99.582603,103.149818,691.239685,111.257561,144.401184,604.051453,184.398331,71.169434,705.725403,167.673798,4.514667,666.386780
