Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,354.301514,-347.912476,865.874023,468.349731,-266.365326,753.708252,444.065735,-117.466728,745.036621,525.725952,-177.182739,946.619141,324.443298,-61.206684,840.658264,347.826172,-203.590225,929.503540,279.995697,-364.927460,679.621948,250.214279,-92.918236,656.350098,149.318039,-183.849258,942.057495,156.390244,-142.540710,850.317322,235.764816,-212.030563,953.723877,219.822693,-278.527863,912.348633
2,0,354.257782,-348.003296,865.853027,468.278564,-266.435394,753.685730,444.009705,-117.532509,745.062256,525.716553,-177.311615,946.610779,324.435181,-61.240746,840.731689,347.803741,-203.695419,929.524353,279.912537,-364.942657,679.590454,250.154373,-92.971962,656.397278,149.262100,-183.984192,942.097656,156.378220,-142.525055,850.403564,235.728348,-212.134293,953.761658,219.757904,-278.599457,912.359863
3,0,354.199677,-348.079346,865.843689,468.211487,-266.496887,753.693665,443.978027,-117.575279,745.135559,525.716675,-177.459961,946.641296,324.440247,-61.287174,840.833130,347.783630,-203.799561,929.571533,279.849762,-364.946777,679.593872,250.111496,-92.997856,656.476074,149.267288,-183.955154,942.200256,156.374420,-142.540848,850.501770,235.715775,-212.239319,953.820190,219.729950,-278.697815,912.424805
4,0,354.129852,-348.159760,865.829529,468.153870,-266.556396,753.703613,443.957092,-117.648018,745.216980,525.710876,-177.627090,946.687988,324.441620,-61.367588,840.945496,347.771362,-203.914825,929.623535,279.765472,-364.929382,679.576904,250.085358,-93.031235,656.573181,149.224640,-184.087646,942.268494,156.383255,-142.513779,850.623291,235.688736,-212.326736,953.878479,219.674103,-278.777130,912.470459
5,0,354.073212,-348.251831,865.817993,468.118988,-266.626831,753.730957,443.971130,-117.705009,745.321106,525.713745,-177.821320,946.759521,324.472900,-61.438866,841.085022,347.758026,-204.032364,929.682495,279.691010,-364.891418,679.556396,250.105347,-92.976807,656.702148,149.211472,-184.169067,942.334106,156.373413,-142.583099,850.717529,235.664673,-212.414062,953.939270,219.659775,-278.866455,912.527283
6,0,354.000092,-348.326904,865.795410,468.074097,-266.681396,753.757019,443.982056,-117.760345,745.439697,525.712769,-178.018250,946.844666,324.519165,-61.470730,841.263245,347.747162,-204.152405,929.758728,279.606506,-364.821381,679.531250,250.140991,-92.849945,656.857239,149.219620,-184.200897,942.417542,156.374878,-142.610474,850.810669,235.663162,-212.508850,954.016785,219.640244,-278.925903,912.566101
7,0,353.935852,-348.398712,865.774231,468.046661,-266.727631,753.789856,444.023712,-117.774162,745.583801,525.724915,-178.222549,946.932739,324.584534,-61.511341,841.435608,347.741638,-204.260742,929.835388,279.526306,-364.723785,679.488708,250.203125,-92.695023,657.038147,149.233261,-184.227402,942.495667,156.402847,-142.616394,850.924377,235.654861,-212.583588,954.075928,219.627884,-278.974548,912.600891
8,0,353.866455,-348.455597,865.738403,468.022766,-266.755646,753.826111,444.078033,-117.776558,745.715515,525.723022,-178.412857,947.029785,324.656525,-61.565304,841.595947,347.741119,-204.359131,929.903992,279.456360,-364.609467,679.442993,250.264526,-92.514191,657.186707,149.205612,-184.318024,942.548401,156.425537,-142.615707,851.009338,235.638824,-212.640335,954.132263,219.595703,-279.011047,912.635681
9,0,353.807434,-348.506958,865.702820,468.019135,-266.784729,753.860840,444.147766,-117.738594,745.858765,525.739990,-178.612335,947.128174,324.712769,-61.586601,841.756836,347.742218,-204.454132,929.966003,279.392639,-364.493958,679.395935,250.330627,-92.363724,657.346802,149.239151,-184.315338,942.620544,156.467224,-142.608932,851.090759,235.627808,-212.702072,954.188049,219.562546,-279.034882,912.659729
10,0,353.759338,-348.548279,865.677612,468.005768,-266.793243,753.893494,444.199799,-117.725235,745.999084,525.748596,-178.772095,947.227112,324.792236,-61.568443,841.923279,347.739075,-204.523712,930.033691,279.341644,-364.381104,679.358948,250.388412,-92.239151,657.475037,149.270691,-184.263153,942.699585,156.512527,-142.564285,851.192627,235.637817,-212.761276,954.252930,219.542938,-279.049225,912.688599
11,0,353.717590,-348.571777,865.664368,468.002045,-266.792786,753.933533,444.246338,-117.730576,746.116028,525.754395,-178.895950,947.316406,324.848022,-61.596626,842.059326,347.744751,-204.583160,930.100098,279.312134,-364.277588,679.341370,250.433563,-92.144203,657.578979,149.263367,-184.288330,942.774109,156.537506,-142.542114,851.273376,235.626297,-212.787720,954.308472,219.518494,-279.049805,912.709290
12,0,353.678558,-348.580414,865.651917,468.000458,-266.785095,753.966309,444.289520,-117.686485,746.228271,525.759338,-178.990112,947.397705,324.881500,-61.582336,842.188599,347.755829,-204.625107,930.160400,279.269775,-364.180847,679.311096,250.471588,-92.033173,657.683960,149.283829,-184.245255,942.827515,156.553696,-142.506714,851.338684,235.628418,-212.803497,954.349060,219.505905,-279.041626,912.724854
13,0,353.630371,-348.553772,865.649292,467.987000,-266.747406,753.999207,444.307556,-117.648979,746.309143,525.759094,-179.044189,947.477722,324.915497,-61.534275,842.294250,347.745300,-204.627701,930.217712,279.228607,-364.076874,679.295227,250.522369,-91.881767,657.790161,149.268768,-184.245316,942.866333,156.575226,-142.445663,851.399048,235.620819,-212.798477,954.400635,219.481949,-279.009399,912.745789
14,0,353.607056,-348.520905,865.655273,467.981079,-266.703613,754.027954,444.311310,-117.599342,746.372925,525.746826,-179.052826,947.532288,324.938049,-61.462513,842.378235,347.730743,-204.607193,930.262329,279.200989,-363.977905,679.293091,250.519867,-91.779030,657.857849,149.279663,-184.177170,942.911072,156.585312,-142.397949,851.431641,235.598969,-212.769745,954.430420,219.485123,-278.982635,912.762268
15,0,353.577209,-348.465790,865.649048,467.952850,-266.631409,754.035767,444.299469,-117.526604,746.416687,525.728943,-179.027145,947.563965,324.929321,-61.399792,842.436462,347.717499,-204.572952,930.289062,279.172363,-363.886108,679.281860,250.507324,-91.680267,657.908386,149.260040,-184.152222,942.947998,156.591782,-142.316864,851.471252,235.568985,-212.731186,954.442932,219.456055,-278.929779,912.763794
16,0,353.551636,-348.397064,865.640686,467.931335,-266.545990,754.039062,444.269348,-117.487259,746.415405,525.706970,-178.971741,947.575562,324.901520,-61.337231,842.456970,347.696533,-204.518600,930.298157,279.156830,-363.791748,679.282715,250.479248,-91.556114,657.936584,149.205566,-184.191391,942.929443,156.561768,-142.266571,851.464539,235.540070,-212.684692,954.452454,219.435547,-278.876923,912.758484
17,0,353.534729,-348.323242,865.629822,467.892548,-266.445099,754.029968,444.222504,-117.371040,746.418152,525.674072,-178.885773,947.571960,324.851898,-61.270966,842.463562,347.655914,-204.438217,930.297607,279.122009,-363.700714,679.264954,250.436279,-91.440506,657.956970,149.195160,-184.093155,942.944397,156.520752,-142.197800,851.464355,235.510010,-212.634384,954.452576,219.413345,-278.815613,912.754089
18,0,353.509308,-348.222534,865.624329,467.846710,-266.329895,754.021851,444.158386,-117.278389,746.399780,525.628540,-178.760971,947.555176,324.789429,-61.172977,842.461121,347.619232,-204.345886,930.293884,279.098419,-363.606995,679.270081,250.354050,-91.379135,657.953247,149.180573,-183.994385,942.941528,156.443695,-142.224197,851.451294,235.454437,-212.554626,954.449585,219.388275,-278.743286,912.751953
19,0,353.477142,-348.108856,865.615723,467.799500,-266.206726,754.006714,444.072174,-117.142761,746.388977,525.569641,-178.610687,947.529358,324.706421,-61.065895,842.453125,347.558807,-204.227753,930.279785,279.060577,-363.510620,679.256042,250.270538,-91.281746,657.950989,149.081360,-184.031906,942.941833,156.379395,-142.155701,851.448303,235.405075,-212.472519,954.450073,219.346298,-278.650299,912.733398
20,0,353.450592,-347.980804,865.612061,467.729309,-266.058838,753.978760,443.968933,-117.035912,746.343811,525.506775,-178.434158,947.497253,324.586029,-60.957306,842.408875,347.496979,-204.091446,930.257568,279.027618,-363.426361,679.262268,250.143372,-91.233475,657.904907,148.982880,-184.021408,942.934631,156.253052,-142.209152,851.408508,235.334229,-212.368393,954.445618,219.304535,-278.552399,912.717896
21,0,353.420837,-347.841034,865.612061,467.661743,-265.899109,753.955017,443.856354,-116.854149,746.321350,525.426208,-178.215698,947.443604,324.450592,-60.840473,842.356995,347.422058,-203.945435,930.236694,278.972565,-363.341217,679.259338,250.029922,-91.144333,657.877319,148.907944,-183.944595,942.953369,156.162796,-142.153015,851.407349,235.256119,-212.255066,954.425537,219.249222,-278.456848,912.703430
22,0,353.402588,-347.704865,865.619812,467.603638,-265.738037,753.937256,443.727356,-116.681404,746.274536,525.335144,-177.975220,947.394409,324.296326,-60.708450,842.294800,347.338898,-203.784286,930.200134,278.962006,-363.291168,679.288452,249.880966,-91.118904,657.818420,148.790863,-183.966049,942.935120,156.058365,-142.057083,851.395325,235.194672,-212.154327,954.411011,219.214050,-278.378571,912.708008
23,0,353.366577,-347.551239,865.623352,467.533691,-265.560913,753.910034,443.587524,-116.498932,746.201477,525.225769,-177.714844,947.345703,324.145111,-60.556786,842.215759,347.242401,-203.614029,930.156372,278.926849,-363.239288,679.300232,249.687515,-91.146614,657.727417,148.737442,-183.781754,942.913757,155.934937,-142.044327,851.341858,235.111191,-212.050095,954.385986,219.140320,-278.276642,912.689148
24,0,353.353729,-347.405884,865.635986,467.473877,-265.388916,753.886475,443.424225,-116.382065,746.107971,525.108643,-177.433716,947.284302,323.949921,-60.472279,842.124207,347.140625,-203.447174,930.120239,278.922455,-363.211517,679.332764,249.533401,-91.061859,657.693054,148.617935,-183.746445,942.874146,155.790649,-142.013763,851.301208,235.016785,-211.938461,954.352905,219.109772,-278.200195,912.676025
25,0,353.344849,-347.260925,865.652527,467.394073,-265.206146,753.861328,443.263702,-116.274422,746.002319,524.987854,-177.146500,947.220459,323.762848,-60.324703,842.041016,347.034607,-203.279953,930.074524,278.880524,-363.176270,679.346497,249.329880,-91.094254,657.588562,148.506042,-183.684280,942.838257,155.633682,-141.985168,851.244629,234.921570,-211.833588,954.315430,219.049713,-278.113159,912.649658
26,0,353.311829,-347.109650,865.656372,467.326141,-265.031097,753.839722,443.084839,-116.092422,745.926941,524.843994,-176.851730,947.162476,323.547058,-60.174751,841.941284,346.916382,-203.117371,930.026611,278.876373,-363.161774,679.376038,249.114151,-91.106041,657.492126,148.367706,-183.682022,942.769958,155.496353,-141.879425,851.204163,234.799683,-211.713608,954.268250,218.985916,-278.026520,912.614258
27,0,353.278595,-346.962067,865.655762,467.242584,-264.845398,753.801697,442.904907,-115.910332,745.863281,524.705627,-176.568939,947.101868,323.328583,-60.056934,841.844543,346.799011,-202.959442,929.975281,278.848328,-363.139374,679.379761,248.904831,-91.127289,657.389648,148.236343,-183.633636,942.742554,155.292999,-141.940430,851.126221,234.682343,-211.610916,954.212097,218.911209,-277.949799,912.576904
28,0,353.241821,-346.822968,865.657166,467.151367,-264.664337,753.769714,442.715668,-115.777023,745.775269,524.543884,-176.278015,947.049500,323.084412,-59.980316,841.727539,346.663635,-202.792603,929.917969,278.811310,-363.109406,679.390381,248.697174,-91.149025,657.291199,148.142426,-183.506851,942.688049,155.116241,-141.917862,851.057434,234.555374,-211.512634,954.166138,218.825653,-277.871307,912.542236
29,0,353.197906,-346.699036,865.641663,467.058868,-264.495117,753.730652,442.537598,-115.619667,745.683289,524.382996,-176.008698,946.982666,322.885101,-59.847988,841.629700,346.522064,-202.642654,929.861877,278.775299,-363.077484,679.379089,248.506744,-91.109184,657.225281,147.912857,-183.676666,942.608276,154.940247,-141.918930,850.984863,234.438217,-211.438309,954.106140,218.739502,-277.810089,912.499023
