Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,298.213745,-157.724640,612.606873,382.999756,-93.279411,476.850189,371.976440,55.707645,465.390076,500.476288,-4.783538,640.799866,288.108704,128.894989,595.526733,299.747253,-15.186454,680.764893,227.367355,-164.291718,424.512451,215.942444,108.516068,408.653992,100.026497,16.908382,697.255310,112.205132,59.430840,604.970520,191.596390,-18.582071,706.073669,170.892075,-78.416794,666.766479
2,0,298.251740,-157.829956,612.530334,383.027374,-93.331284,476.784882,371.997833,55.617847,465.371460,500.528229,-4.920805,640.776062,288.141388,128.767975,595.560364,299.807343,-15.333529,680.756226,227.386124,-164.319031,424.437683,215.966446,108.474327,408.682251,100.105148,16.844242,697.265686,112.252983,59.350681,605.010437,191.648697,-18.727507,706.062622,170.893600,-78.542130,666.758911
3,0,298.290253,-157.936066,612.477051,383.053711,-93.394882,476.737183,372.048126,55.580730,465.389587,500.570831,-5.044196,640.754272,288.212494,128.697617,595.615051,299.852509,-15.451359,680.747131,227.389420,-164.334000,424.368042,215.998245,108.443565,408.724731,100.190750,16.801758,697.292786,112.332504,59.334404,605.081055,191.701950,-18.857803,706.061401,170.896332,-78.664131,666.766357
4,0,298.309814,-158.034515,612.433655,383.085144,-93.476234,476.716980,372.088745,55.496506,465.377838,500.609802,-5.181517,640.738708,288.278351,128.590576,595.641724,299.888397,-15.568468,680.736267,227.395325,-164.354767,424.322937,216.055618,108.452637,408.785553,101.312111,19.387833,698.638611,112.386475,59.250145,605.100769,191.744354,-18.966581,706.057190,170.911636,-78.800041,666.786316
5,0,298.315094,-158.136002,612.389282,383.094818,-93.543869,476.675079,372.127228,55.418812,465.401428,500.641174,-5.332566,640.736145,288.327820,128.492096,595.684082,299.918488,-15.687762,680.736572,227.378647,-164.374817,424.270935,216.098068,108.435188,408.825897,100.265320,16.643627,697.277649,112.433945,59.187748,605.146545,191.795456,-19.091557,706.058167,170.911621,-78.918045,666.788208
6,0,298.301147,-158.221298,612.361084,383.083527,-93.606987,476.650635,372.166046,55.354229,465.443695,500.662445,-5.472175,640.756409,288.368958,128.394852,595.729492,299.937531,-15.804838,680.752380,227.370255,-164.420624,424.249451,216.138611,108.403030,408.879730,100.303200,16.596176,697.297607,112.480087,59.140434,605.203735,191.829010,-19.200493,706.068054,170.891251,-79.008377,666.797546
7,0,298.291962,-158.317993,612.366943,383.099701,-93.689743,476.670563,372.185089,55.262566,465.459900,500.662506,-5.589133,640.782227,288.387054,128.290634,595.754395,299.940308,-15.898746,680.765320,227.349808,-164.466827,424.237183,216.161789,108.353981,408.924591,100.319862,16.544390,697.299316,112.464317,59.011063,605.190308,191.834854,-19.299675,706.078674,170.874878,-79.110367,666.828430
8,0,298.270233,-158.410675,612.356140,383.094177,-93.782906,476.674774,372.201782,55.174427,465.493011,500.667389,-5.717227,640.807312,288.409241,128.207108,595.801147,299.934082,-16.009171,680.782837,227.338974,-164.529495,424.218201,216.205673,108.350143,409.001068,101.354141,18.997223,698.548950,112.506363,59.024914,605.253235,191.839462,-19.403034,706.081787,170.831360,-79.190453,666.822571
9,0,298.236206,-158.486618,612.378235,383.090698,-93.871628,476.716522,372.201416,55.084816,465.524872,500.656128,-5.820944,640.852478,288.412354,128.127106,595.838806,299.910309,-16.087914,680.808411,227.342438,-164.606857,424.249634,216.209427,108.256500,409.003906,100.313713,16.480549,697.296814,112.495193,58.960846,605.262329,191.816284,-19.473354,706.095337,170.793579,-79.263428,666.839050
