Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,275.033203,-469.742004,867.536987,360.133698,-419.836975,725.892456,358.716919,-269.820679,703.515747,484.407410,-327.295746,882.114868,280.777893,-182.547714,828.013611,283.544281,-321.425781,923.621399,201.721237,-485.446381,681.108276,205.718414,-212.882095,643.551880,87.186554,-274.092896,940.524780,101.050217,-239.466049,843.604858,175.329468,-316.101532,949.900146,152.556885,-378.564575,913.511292
2,0,275.199066,-469.739105,867.556458,360.268127,-419.823425,725.892883,358.532776,-270.197571,703.561462,484.459534,-327.120331,882.072815,280.740814,-182.528046,827.931824,283.616089,-321.403595,923.592590,201.882767,-485.567474,681.137329,205.679932,-213.007446,643.488831,87.230240,-274.193146,940.491333,101.060944,-239.544418,843.577576,175.387695,-316.134033,949.874207,152.670502,-378.639954,913.512817
3,0,275.341400,-469.742065,867.586243,360.382080,-419.818115,725.897278,358.561737,-270.070129,703.575500,484.514038,-326.969604,882.053955,280.696442,-182.507935,827.875244,283.658508,-321.373779,923.567871,202.035690,-485.690430,681.193420,205.625977,-213.121368,643.445496,87.232590,-274.297760,940.499512,101.106674,-239.527664,843.576782,175.444000,-316.182983,949.876099,152.740753,-378.708252,913.526794
4,0,275.499847,-469.771973,867.599182,360.497070,-419.832611,725.888611,358.582214,-270.064392,703.518433,484.566925,-326.851685,882.003906,280.619232,-182.650177,827.770264,283.711792,-321.369080,923.526550,202.158920,-485.814423,681.208740,205.597336,-213.244858,643.375732,87.274628,-274.434265,940.458618,101.066956,-239.752213,843.519226,175.489792,-316.237091,949.842834,152.845840,-378.801361,913.524414
5,0,275.612091,-469.802216,867.588074,360.575775,-419.854675,725.852295,358.779999,-269.824554,703.308899,484.608887,-326.762146,881.948975,280.584839,-182.707932,827.688599,283.755768,-321.382416,923.483337,202.288940,-485.947418,681.224670,205.561005,-213.363312,643.327942,87.303001,-274.551361,940.426392,101.076683,-239.876709,843.490906,175.528458,-316.306305,949.807190,152.920593,-378.894379,913.506775
6,0,275.726868,-469.843475,867.600281,360.659515,-419.885498,725.846924,358.794220,-269.856323,703.273865,484.656769,-326.704498,881.914856,280.561646,-182.733337,827.650635,283.813782,-321.410950,923.465576,202.404785,-486.064972,681.254456,205.529678,-213.473450,643.287598,87.348488,-274.670288,940.410095,101.042984,-240.117218,843.436707,175.583725,-316.377991,949.800049,153.011871,-378.992035,913.514709
7,0,275.814728,-469.897278,867.584778,360.734100,-419.929138,725.823059,358.793762,-269.897430,703.252686,484.700317,-326.676483,881.876587,280.523193,-182.785690,827.613403,283.859650,-321.460114,923.436707,202.488831,-486.178894,681.243164,205.501266,-213.576508,643.256897,87.358467,-274.792236,940.382751,101.046371,-240.266937,843.404236,175.634720,-316.465302,949.778137,153.081055,-379.093079,913.499329
8,0,275.889526,-469.964478,867.543396,360.806122,-419.992035,725.778748,358.802307,-269.954498,703.201233,484.742981,-326.676514,881.816895,280.540680,-182.833191,827.542969,283.901428,-321.522919,923.384949,202.567169,-486.294067,681.217957,205.495270,-213.691818,643.196411,87.388329,-274.935577,940.336060,101.053909,-240.425125,843.339111,175.695404,-316.567444,949.743469,153.113266,-379.183929,913.458496
9,0,275.968567,-470.040039,867.524780,360.891815,-420.069794,725.769043,358.828552,-270.030548,703.157593,484.784088,-326.691650,881.779175,280.548126,-182.920914,827.494507,283.944580,-321.593567,923.356689,202.668365,-486.415802,681.221619,205.498154,-213.807236,643.162048,87.411713,-275.075531,940.330933,101.083618,-240.552704,843.328247,175.760986,-316.673584,949.726929,153.190521,-379.309418,913.457886
10,0,276.059937,-470.134003,867.521545,360.942322,-420.139526,725.745178,358.696930,-270.335205,703.273132,484.828308,-326.725952,881.749634,280.547333,-182.996811,827.461609,283.992065,-321.675934,923.335815,202.730438,-486.536926,681.213196,205.502594,-213.921906,643.137695,87.469810,-275.216919,940.309692,101.123497,-240.675537,843.315186,175.825989,-316.793304,949.717834,153.258301,-379.432861,913.466614
11,0,276.143982,-470.248901,867.493103,361.007538,-420.240753,725.703247,358.865753,-270.214813,703.103455,484.881317,-326.789642,881.701050,280.562805,-183.111099,827.433777,284.045471,-321.779816,923.302673,202.820847,-486.683167,681.207886,205.502075,-214.052856,643.113281,87.498085,-275.362213,940.297180,101.132027,-240.871964,843.292053,175.877090,-316.911743,949.691528,153.356720,-379.583069,913.461304
12,0,276.255341,-470.370544,867.485535,361.068970,-420.346649,725.663757,358.887787,-270.323914,703.052124,484.928619,-326.852051,881.643066,280.561249,-183.298950,827.370544,284.104401,-321.889954,923.260620,202.872269,-486.818726,681.180969,205.521484,-214.205399,643.070679,87.548752,-275.513458,940.296143,101.127975,-241.120026,843.243286,175.925629,-317.034851,949.651855,153.403702,-379.713501,913.445190
13,0,276.339264,-470.489777,867.480591,361.129486,-420.458710,725.644714,358.909637,-270.436676,703.018005,484.984039,-326.927032,881.599487,280.595764,-183.401917,827.335327,284.155060,-321.995178,923.236267,202.934479,-486.956512,681.189941,205.518188,-214.339005,643.048279,87.617928,-275.667816,940.283081,101.169373,-241.223969,843.239807,175.987106,-317.166016,949.657227,153.472763,-379.853424,913.454041
14,0,276.418427,-470.611664,867.457458,361.189728,-420.579803,725.619385,358.941956,-270.557068,703.005188,485.044159,-327.026398,881.558350,280.640442,-183.494827,827.319153,284.214600,-322.114105,923.214355,202.992493,-487.100983,681.184143,205.546860,-214.477905,643.035278,87.649124,-275.813995,940.283142,101.221252,-241.344971,843.229370,176.049240,-317.300293,949.648193,153.554504,-379.997314,913.459290
15,0,276.478455,-470.740051,867.418640,361.246216,-420.707733,725.577576,358.980377,-270.689575,702.963074,485.113037,-327.141022,881.513550,280.677185,-183.655731,827.274353,284.280701,-322.244659,923.181030,203.042648,-487.253540,681.151672,205.585739,-214.622742,643.024109,87.714554,-275.974731,940.283813,101.277794,-241.481522,843.221375,176.118683,-317.441620,949.621948,153.593994,-380.131470,913.428772
16,0,276.572388,-470.884674,867.412964,361.323486,-420.844269,725.568848,359.029297,-270.823303,702.921631,485.166351,-327.250275,881.467468,280.720947,-183.781693,827.245422,284.329651,-322.365326,923.154236,203.113998,-487.400330,681.149841,205.614548,-214.764603,642.999329,87.805008,-276.134338,940.262573,101.339828,-241.589508,843.227112,176.184219,-317.582886,949.619446,153.681030,-380.282745,913.444885
17,0,276.650665,-471.026978,867.402710,361.373962,-420.975952,725.540588,359.076263,-270.954193,702.894836,485.233124,-327.381561,881.440918,280.774902,-183.899384,827.232544,284.403687,-322.507568,923.138184,203.177231,-487.537170,681.153381,205.642303,-214.898041,642.982788,87.850365,-276.285797,940.269470,101.374847,-241.785095,843.201416,176.251755,-317.730164,949.627380,153.754272,-380.427979,913.452698
