Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,266.743347,-488.719299,858.670349,350.176666,-435.031586,717.062866,355.857910,-284.473785,703.091248,482.852356,-358.447327,874.807312,285.899323,-200.021957,834.850708,283.553680,-344.334320,922.244446,186.622437,-489.110382,673.605774,204.119766,-215.432648,651.443298,90.351257,-288.815460,946.129639,103.746651,-249.422058,851.925781,176.848053,-334.528595,951.598083,150.549240,-393.612793,913.280396
2,0,266.753052,-488.704559,858.642395,350.164032,-435.007996,717.020325,355.852600,-284.452820,703.055420,482.858582,-358.428436,874.764893,285.910278,-200.013489,834.817444,283.561279,-344.318512,922.210938,186.606995,-489.088531,673.567383,204.131134,-215.418045,651.410583,90.371986,-288.799774,946.100159,103.764496,-249.388672,851.888245,176.849442,-334.511230,951.569519,150.536850,-393.594604,913.261536
3,0,266.759644,-488.677948,858.620789,350.176239,-434.979126,717.004150,355.850342,-284.428131,703.045715,482.864258,-358.398804,874.745056,285.901245,-199.965591,834.812561,283.571350,-344.296173,922.197266,186.626526,-489.067505,673.554871,204.122787,-215.401199,651.408020,90.342651,-288.783569,946.089600,103.739365,-249.420059,851.859009,176.858444,-334.493103,951.568420,150.551300,-393.580078,913.257568
4,0,266.766266,-488.640167,858.606262,350.181152,-434.943481,716.992615,355.856964,-284.388489,703.031250,482.873962,-358.356964,874.725769,285.917236,-199.911697,834.800049,283.582672,-344.266479,922.186707,186.630997,-489.036804,673.540100,204.125809,-215.369751,651.401062,90.361755,-288.766785,946.093628,103.778992,-249.387314,851.858459,176.865768,-334.471527,951.562134,150.542297,-393.552795,913.260315
5,0,266.784393,-488.610168,858.575562,350.193726,-434.907623,716.964783,355.849731,-284.347656,703.002014,482.882477,-358.312958,874.689209,285.903748,-199.905457,834.772827,283.585785,-344.230103,922.151062,186.647308,-489.002808,673.508789,204.118057,-215.338455,651.365112,90.348877,-288.741882,946.058411,103.781464,-249.391312,851.806763,176.883606,-334.451141,951.538574,150.549255,-393.527466,913.239563
6,0,266.795044,-488.570190,858.543579,350.210846,-434.867462,716.936768,355.859375,-284.310272,702.970337,482.900726,-358.262238,874.659241,285.888824,-199.951080,834.712219,283.610291,-344.196045,922.122986,186.670547,-488.978668,673.478088,204.133957,-215.315033,651.329712,90.405151,-288.735260,946.051025,103.786301,-249.398773,851.789856,176.903564,-334.424377,951.516235,150.529419,-393.481476,913.207275
7,0,266.817474,-488.524597,858.534058,350.224457,-434.816528,716.929382,355.843689,-284.254547,702.941528,482.909180,-358.192566,874.637512,285.898682,-199.837021,834.689209,283.609467,-344.138275,922.102966,186.682938,-488.942078,673.467590,204.113815,-215.281342,651.307739,90.386955,-288.710510,946.033752,103.762360,-249.410950,851.735046,176.905884,-334.382050,951.505737,150.542892,-393.443878,913.204407
8,0,266.827911,-488.481140,858.499939,350.235901,-434.767731,716.889221,355.828308,-284.202393,702.903076,482.915894,-358.117310,874.598511,285.875427,-199.830399,834.646729,283.619019,-344.091797,922.067017,186.686844,-488.919189,673.435364,204.092941,-215.256302,651.267700,90.392647,-288.700623,945.991821,103.797409,-249.311432,851.720337,176.917099,-334.356171,951.476624,150.546082,-393.428345,913.182373
9,0,266.860840,-488.444061,858.479492,350.253448,-434.721375,716.855164,355.818726,-284.164612,702.867554,482.934265,-358.044159,874.561707,285.848755,-199.761368,834.621399,283.630310,-344.050293,922.031616,186.720932,-488.911316,673.419312,204.055664,-215.239365,651.219299,90.365067,-288.686462,945.965088,103.731140,-249.442734,851.659363,176.921906,-334.327179,951.449890,150.553146,-393.417511,913.166809
