Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,300.603668,-469.278595,866.984375,388.964539,-414.234863,729.266541,389.315125,-263.508240,713.585022,511.455170,-330.149933,891.666809,310.142670,-180.779083,840.791565,309.831573,-323.911621,929.982117,229.756088,-475.505920,678.669556,237.701401,-201.814865,654.076721,114.459831,-273.464630,942.616638,130.444199,-237.049500,848.479248,202.619110,-316.374115,953.792969,179.991928,-376.551422,916.202393
2,0,300.628204,-469.343689,866.953735,388.983643,-414.278564,729.241333,389.334991,-263.547150,713.576599,511.481812,-330.223755,891.654785,310.185608,-180.760361,840.833618,309.860565,-323.989349,929.975647,229.784592,-475.543549,678.643921,237.705200,-201.842606,654.096741,114.495033,-273.548248,942.621094,130.497726,-237.059479,848.514832,202.660080,-316.466949,953.795654,180.018234,-376.628662,916.188904
3,0,300.643585,-469.404236,866.929749,388.987610,-414.308319,729.221130,389.355072,-263.584229,713.588379,511.497070,-330.285522,891.645935,310.191895,-180.876831,840.843079,309.883087,-324.062592,929.979919,229.781509,-475.567291,678.621399,237.724197,-201.871597,654.120483,114.508278,-273.623779,942.633179,130.481583,-237.208221,848.524292,202.678604,-316.550995,953.802979,180.028595,-376.697998,916.194946
4,0,300.682465,-469.466583,866.917786,389.015778,-414.350525,729.212341,389.355347,-263.614441,713.592834,511.514832,-330.343170,891.639954,310.201477,-180.877426,840.869751,309.903717,-324.130341,929.981201,229.796356,-475.607666,678.607178,237.709839,-201.901016,654.141235,114.533119,-273.694092,942.645020,130.532669,-237.191147,848.573120,202.683334,-316.626740,953.807800,180.030304,-376.763489,916.192871
5,0,300.704803,-469.525391,866.899963,389.017426,-414.387573,729.190918,389.360901,-263.658081,713.604614,511.525024,-330.387909,891.619141,310.223083,-180.883789,840.903198,309.913849,-324.190643,929.976135,229.817963,-475.658020,678.597107,237.704086,-201.949478,654.153870,114.533722,-273.762512,942.643250,130.502289,-237.321533,848.575317,202.696808,-316.703217,953.809692,180.051315,-376.835297,916.193298
6,0,300.732849,-469.573517,866.897522,389.028015,-414.423218,729.183228,389.345978,-263.694122,713.598022,511.540283,-330.415558,891.605286,310.195587,-180.994232,840.884216,309.934631,-324.243530,929.974915,229.829788,-475.709900,678.592102,237.684250,-201.993011,654.147644,114.537262,-273.831879,942.661133,130.495941,-237.403992,848.572083,202.699081,-316.755829,953.806396,180.050812,-376.882996,916.190308
7,0,300.761749,-469.615295,866.905457,389.045776,-414.457520,729.186401,389.346161,-263.729767,713.593811,511.554230,-330.432251,891.593140,310.206146,-180.960144,840.897278,309.941132,-324.274323,929.973633,229.840134,-475.761536,678.603027,237.677307,-202.047943,654.148621,114.559921,-273.888458,942.660400,130.489548,-237.477631,848.579224,202.701111,-316.794983,953.802490,180.065323,-376.932373,916.196838
8,0,300.790344,-469.652527,866.907166,389.051086,-414.490387,729.177612,389.333527,-263.758026,713.571167,511.562714,-330.438965,891.571228,310.205536,-180.995239,840.876831,309.955994,-324.307037,929.965149,229.860931,-475.816559,678.600952,237.672134,-202.103500,654.124390,114.577499,-273.939301,942.650269,130.516846,-237.460007,848.580200,202.730347,-316.847382,953.798035,180.089706,-376.982391,916.187927
9,0,300.805481,-469.679474,866.898987,389.062286,-414.521912,729.164062,389.331726,-263.796539,713.557983,511.577606,-330.448578,891.561279,310.183899,-181.099640,840.836182,309.973907,-324.339233,929.951172,229.868851,-475.868195,678.591858,237.657379,-202.166840,654.104187,114.584442,-273.985535,942.643494,130.476624,-237.605774,848.547058,202.743881,-316.888824,953.782410,180.100906,-377.025055,916.168518
