Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,327.857483,-328.289246,868.404968,442.991852,-246.511871,757.468201,416.662598,-98.203384,746.232117,494.998779,-153.870499,950.257019,294.234741,-42.478195,838.700195,317.949219,-183.225662,929.871704,257.547485,-348.957703,681.023438,224.105087,-77.810913,653.440369,118.268738,-168.288300,939.641846,126.949463,-128.722549,847.140747,205.750504,-193.420746,953.162170,192.421341,-261.362793,912.754333
2,0,327.945496,-328.423615,868.400940,443.087158,-246.638931,757.481079,416.770508,-98.324287,746.276306,495.098297,-154.027939,950.286926,294.358368,-42.572781,838.754272,318.051361,-183.381195,929.892273,257.641785,-349.056396,681.004944,224.229736,-77.928223,653.452759,118.336105,-168.519455,939.643005,127.076195,-128.818924,847.164856,205.835236,-193.554962,953.164429,192.531082,-261.497803,912.743164
3,0,328.041687,-328.560669,868.401855,443.183228,-246.757828,757.495911,416.884033,-98.423447,746.313599,495.206177,-154.192566,950.321655,294.484009,-42.665565,838.802185,318.157562,-183.527802,929.920837,257.746216,-349.145325,680.999512,224.353043,-78.033264,653.470215,118.471901,-168.585693,939.657288,127.176018,-128.913162,847.189575,205.944473,-193.694778,953.179688,192.630966,-261.620850,912.746277
4,0,328.144501,-328.690582,868.406433,443.283478,-246.882141,757.521057,416.995636,-98.523041,746.369446,495.325714,-154.360992,950.358887,294.600830,-42.804630,838.861938,318.269745,-183.662613,929.950317,257.844299,-349.220856,680.994263,224.489075,-78.091034,653.531555,118.599083,-168.638489,939.689209,127.319931,-128.936340,847.242249,206.059784,-193.825745,953.208679,192.732162,-261.737427,912.754028
5,0,328.226501,-328.806946,868.388977,443.377533,-246.997910,757.518005,417.126495,-98.674515,746.397095,495.448181,-154.529785,950.374207,294.739563,-42.953041,838.909058,318.386963,-183.800217,929.970581,257.927155,-349.284760,680.956970,224.630188,-78.185776,653.572937,118.713326,-168.778900,939.732117,127.438438,-129.064758,847.270020,206.183136,-193.955170,953.224426,192.816193,-261.837830,912.741211
6,0,328.315918,-328.926270,868.350159,443.495544,-247.132248,757.504150,417.262726,-98.803680,746.426147,495.585022,-154.701599,950.372437,294.898102,-43.056210,838.955994,318.519897,-183.940735,929.974670,258.035461,-349.351074,680.918762,224.765961,-78.240883,653.600891,118.841331,-168.886124,939.754578,127.579720,-129.161621,847.286621,206.305069,-194.071701,953.219604,192.942642,-261.944824,912.712646
7,0,328.419067,-329.048828,868.319641,443.621399,-247.258316,757.496765,417.412689,-98.914246,746.454285,495.739075,-154.895020,950.381653,295.084076,-43.104706,839.009399,318.656555,-184.082092,929.987366,258.127106,-349.408447,680.888000,224.930725,-78.247856,653.661316,118.961243,-169.011826,939.786194,127.705933,-129.309525,847.296692,206.439072,-194.196091,953.235474,193.042496,-262.040894,912.695374
8,0,328.534271,-329.179932,868.296570,443.740753,-247.386765,757.487549,417.579041,-98.956917,746.492126,495.896515,-155.086746,950.395386,295.263306,-43.220192,839.043091,318.796631,-184.210632,929.997925,258.226685,-349.461578,680.862244,225.101471,-78.272163,653.702393,119.096313,-169.162537,939.775085,127.866463,-129.419067,847.314026,206.576355,-194.310730,953.256226,193.170517,-262.152588,912.712402
9,0,328.649139,-329.316376,868.254944,443.868256,-247.519409,757.458618,417.747437,-99.125626,746.494751,496.063263,-155.282684,950.390137,295.468353,-43.340622,839.089111,318.961700,-184.369522,930.003235,258.329193,-349.528442,680.821533,225.286469,-78.330338,653.746765,119.266823,-169.219879,939.809143,128.059845,-129.457550,847.350830,206.717484,-194.426346,953.250793,193.296631,-262.250946,912.688232
10,0,328.767273,-329.448425,868.226135,443.992737,-247.654037,757.438721,417.928558,-99.279343,746.519043,496.242767,-155.496552,950.401245,295.676270,-43.471416,839.131165,319.132812,-184.519882,930.009949,258.417053,-349.581909,680.780334,225.495056,-78.319595,653.808899,119.432266,-169.324280,939.816956,128.223969,-129.531372,847.370361,206.883636,-194.552261,953.266052,193.423386,-262.347504,912.671570
11,0,328.896637,-329.586945,868.209778,444.141113,-247.799850,757.441101,418.118622,-99.431396,746.551880,496.430847,-155.721558,950.428162,295.882538,-43.599922,839.188965,319.313599,-184.667206,930.031250,258.526886,-349.644012,680.766602,225.664017,-78.417137,653.846558,119.641899,-169.335358,939.864624,128.414444,-129.582123,847.414856,207.063629,-194.678009,953.295837,193.581894,-262.448364,912.679565
12,0,329.012787,-329.719757,868.184265,444.275177,-247.939178,757.425415,418.321808,-99.534798,746.601013,496.617096,-155.941681,950.440186,296.105988,-43.699760,839.246826,319.480469,-184.807358,930.046509,258.624054,-349.702515,680.741760,225.872452,-78.389397,653.925476,119.843742,-169.368378,939.907104,128.624283,-129.620987,847.452820,207.224167,-194.785675,953.309814,193.741684,-262.548737,912.674805
13,0,329.132477,-329.853577,868.163086,444.427368,-248.099442,757.420471,418.535095,-99.675667,746.643494,496.800507,-156.154846,950.443359,296.330231,-43.865231,839.294983,319.660034,-184.950394,930.065796,258.722565,-349.761108,680.724792,226.087616,-78.417793,653.978210,119.994003,-169.535309,939.903809,128.819061,-129.705582,847.483154,207.399658,-194.892502,953.318481,193.885315,-262.644501,912.672180
14,0,329.247986,-329.981842,868.141296,444.580597,-248.253815,757.415283,418.746338,-99.824760,746.669800,497.005310,-156.382355,950.460388,296.563751,-44.013893,839.349548,319.839874,-185.078400,930.084167,258.806122,-349.802002,680.703491,226.294312,-78.433212,654.031555,120.186012,-169.625809,939.953064,129.008377,-129.774445,847.538818,207.578644,-194.988602,953.348206,194.040527,-262.732941,912.680603
15,0,329.356842,-330.104004,868.109985,444.719513,-248.401855,757.395874,418.955048,-99.937164,746.693176,497.215240,-156.612381,950.461792,296.823395,-44.042862,839.403748,320.034149,-185.219910,930.093140,258.897736,-349.842957,680.680115,226.483459,-78.516487,654.056885,120.394524,-169.642761,939.986511,129.232498,-129.780838,847.586243,207.779205,-195.104126,953.365173,194.177444,-262.810028,912.678101
16,0,329.480560,-330.234070,868.069336,444.861847,-248.551590,757.357544,419.181030,-100.076836,746.702148,497.433350,-156.848801,950.441162,297.067261,-44.173645,839.438904,320.235168,-185.371140,930.089478,258.991821,-349.890930,680.632996,226.681473,-78.561646,654.053223,120.599487,-169.700775,940.016968,129.430664,-129.857727,847.602966,207.973740,-195.206650,953.367859,194.357376,-262.907867,912.664246
17,0,329.589142,-330.351227,868.018982,445.000916,-248.699966,757.318726,419.394531,-100.151482,746.744751,497.632690,-157.070618,950.427795,297.330292,-44.271446,839.476196,320.425842,-185.506302,930.082825,259.066711,-349.924438,680.587219,226.891006,-78.601555,654.109192,120.785515,-169.824081,940.045593,129.638641,-129.921356,847.641602,208.162140,-195.304337,953.372864,194.490463,-262.982574,912.640442
